DATECODE	OCCFAM	OCCFAMT	OCC	OCCT	EMPCOUNT	AVGSAL	AVGLOS
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	638	RECREATION/CREATIVE ARTS THERAPIST	1145	93456	11.1
202503	15	MATHEMATICS AND STATISTICS GROUP	1520	MATHEMATICS	1134	138014	11.8
202503	18	INVESTIGATION GROUP	1889	IMPORT COMPLIANCE SERIES	1130	109580	15.9
202503	11	BUSINESS AND INDUSTRY GROUP	1150	INDUSTRIAL SPECIALIST	1129	109796	15.4
202503	5	ACCOUNTING AND BUDGET GROUP	544	CIVILIAN PAY	1128	54674	9.4
202503	8	ENGINEERING AND ARCHITECTURE GROUP	858	BIOENGINEERING & BIOMEDICAL ENGINEERING	1116	139910	9.1
202503	9	LEGAL AND KINDRED GROUP	991	WORKER'S COMPENSATION CLAIMS EXAMINING	1105	116386	16.9
202503	1	"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP"	150	GEOGRAPHY	1094	114971	12
202503	10	INFORMATION AND ARTS GROUP	1083	TECHNICAL WRITING AND EDITING	1092	114324	12
202503	46	WOOD WORK FAMILY	4607	CARPENTRY	1073	72441	9.4
202503	1	"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP"	186	SOCIAL SERVICES AID AND ASSISTANT	1071	58552	8.9
202503	8	ENGINEERING AND ARCHITECTURE GROUP	895	INDUSTRIAL ENGINEERING TECHNICAL	1060	86641	17.4
202503	8	ENGINEERING AND ARCHITECTURE GROUP	828	CONSTRUCTION ANALYST	1046	89967	7
202503	8	ENGINEERING AND ARCHITECTURE GROUP	899	ENGINEERING AND ARCHITECTURE STUDENT TRAINEE	1045	49186	1.3
202503	69	WAREHOUSING AND STOCK HANDLING FAMILY	6910	MATERIALS EXPEDITING	1032	62836	9.1
202503	18	INVESTIGATION GROUP	1822	MINE SAFETY AND HEALTH INSPECTION SERIES	1025	108367	11.8
202503	69	WAREHOUSING AND STOCK HANDLING FAMILY	6904	TOOLS AND PARTS ATTENDING	1009	59624	7.7
202503	18	INVESTIGATION GROUP	1849	WAGE AND HOUR INVESTIGATION SERIES	1009	117103	16.3
202503	1	"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP"	188	RECREATION SPECIALIST	995	76470	13.5
202503	10	INFORMATION AND ARTS GROUP	1040	LANGUAGE SPECIALIST	972	114230	10.7
202503	8	ENGINEERING AND ARCHITECTURE GROUP	893	CHEMICAL ENGINEERING	958	136640	12.9
202503	3	"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP"	335	COMPUTER CLERK AND ASSISTANT	941	68796	13.6
202503	42	PLUMBING AND PIPEFITTING FAMILY	4206	PLUMBING	933	73872	8.3
202503	8	ENGINEERING AND ARCHITECTURE GROUP	871	NAVAL ARCHITECTURE	928	132030	12.1
202503	37	METAL PROCESSING FAMILY	3705	NON-DESTRUCTIVE TESTING	927	78561	8.6
202503	10	INFORMATION AND ARTS GROUP	1071	AUDIOVISUAL PRODUCTION	919	116980	13.4
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	682	DENTAL HYGIENE	918	82768	7.8
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	668	PODIATRIST	910	201354	9.2
202503	53	INDUSTRIAL EQUIPMENT MAINTENANCE FAMILY	5301	MISC INDUSTRIAL EQUIPMENT MAINTENANCE	904	86975	12.4
202503	19	"QUALITY ASSURANCE, INSPECTION, AND GRADING GROUP"	1981	AGRICULTURAL COMMODITY AID	895	37577	4.4
202503	13	PHYSICAL SCIENCES GROUP	1306	HEALTH PHYSICS	888	130197	14.1
202503	17	EDUCATION GROUP	1740	EDUCATION SERVICES	879	88058	10.6
202503	8	ENGINEERING AND ARCHITECTURE GROUP	896	INDUSTRIAL ENGINEERING	874	125960	12.2
202503	14	LIBRARY AND ARCHIVES GROUP	1410	LIBRARIAN	857	117492	14
202503	82	FLUID SYSTEMS MAINTENANCE FAMILY	8255	PNEUDRAULIC SYSTEMS MECHANIC	857	71708	11.3
202503	3	"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP"	360	EQUAL OPPORTUNITY COMPLIANCE	848	128604	15.3
202503	4	BIOLOGICAL SCIENCES GROUP	421	PLANT PROTECTION TECHNICIAN	847	44760	6
202503	4	BIOLOGICAL SCIENCES GROUP	454	RANGELAND MANAGEMENT	824	84335	13
202503	5	ACCOUNTING AND BUDGET GROUP	580	CREDIT UNION EXAMINER	823	122336	15.1
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	670	HEALTH SYSTEM ADMINISTRATION	820	161645	17.6
202503	66	ARMAMENT WORK FAMILY	6652	AIRCRAFT ORDNANCE SYSTEMS MECHANIC	812	86890	8.9
202503	4	BIOLOGICAL SCIENCES GROUP	458	SOIL CONSERVATION TECHNICIAN	807	54187	8.7
202503	5	ACCOUNTING AND BUDGET GROUP	526	TAX SPECIALIST	797	84219	15.7
202503	21	TRANSPORTATION GROUP	2186	TECHNICAL SYSTEMS PROGRAM MANAGER	792	188489	23.3
202503	18	INVESTIGATION GROUP	1863	FOOD INSPECTION	792	57353	8
202503	1	"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP"	170	HISTORY	791	121207	12.9
202503	17	EDUCATION GROUP	1715	VOCATIONAL REHABILITATION	790	86576	12.1
202503	54	INDUSTRIAL EQUIPMENT OPERATION FAMILY	5402	BOILER PLANT OPERATING	789	75363	11.1
202503	4	BIOLOGICAL SCIENCES GROUP	470	SOIL SCIENCE	780	105478	15.6
202503	18	INVESTIGATION GROUP	1860	EQUAL OPPORTUNITY INVESTIGATION	778	107925	14.7
202503	82	FLUID SYSTEMS MAINTENANCE FAMILY	8268	AIRCRAFT PNEUDRAULIC SYSTEMS MECHANIC	775	80006	8.9
202503	5	ACCOUNTING AND BUDGET GROUP	530	CASH PROCESSING	767	47664	10.8
202503	54	INDUSTRIAL EQUIPMENT OPERATION FAMILY	5407	ELECTRICAL POWER CONTROLLING	759	129019	14.9
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	669	MEDICAL RECORDS ADMINISTRATION	759	96281	14
202503	99	VESSEL JOBS FAMILY (EXCLUDED FROM THE FEDERAL WAGE SYSTEM)	9985	STEWARD UTILITYMAN	748	38354	4.7
202503	54	INDUSTRIAL EQUIPMENT OPERATION FAMILY	5413	FUEL DISTRIBUTION SYSTEM OPERATING	747	72988	8.4
202503	47	GENERAL MAINTENANCE AND OPERATIONS WORK FAMILY	4754	CEMETERY CARETAKING	730	60398	5.5
202503	52	MISCELLANEOUS OCCUPATIONS FAMILY	5220	SHIPWRIGHT	729	76849	8.9
202503	1	"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP"	181	PSYCHOLOGY AID AND TECHNICIAN	720	64300	9
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	672	PROSTHETIC REPRESENTATIVE	719	94954	15.8
202503	99	VESSEL JOBS FAMILY (EXCLUDED FROM THE FEDERAL WAGE SYSTEM)	9928	ORDINARY SEAMAN	712	38310	1.7
202503	0	MISCELLANEOUS OCCUPATIONS GROUP	90	GUIDE	710	46319	6.2
202503	11	BUSINESS AND INDUSTRY GROUP	1106	PROCUREMENT CLERICAL AND TECHNICIAN	698	61693	15
202503	11	BUSINESS AND INDUSTRY GROUP	1140	TRADE SPECIALIST	698	141215	14.4
202503	10	INFORMATION AND ARTS GROUP	1016	MUSEUM SPECIALIST AND TECHNICIAN	685	90437	12.7
202503	4	BIOLOGICAL SCIENCES GROUP	405	PHARMACOLOGY	685	177116	12.8
202503	16	"EQUIPMENT, FACILITIES, AND SERVICES GROUP"	1603	"EQUIPMENT, FACILITIES, AND SERVICES ASSISTANCE"	674	63248	10.7
202503	73	"LAUNDRY, DRY CLEANING, AND PRESSING FAMILY"	7304	LAUNDRY WORKING	665	44944	8.5
202503	14	LIBRARY AND ARCHIVES GROUP	1412	TECHNICAL INFORMATION SERVICES	662	119610	15.1
202503	57	TRANSPORTATION/MOBILE EQUIPMENT OPERATION FAMILY	5725	CRANE OPERATING	660	84528	11.9
202503	20	SUPPLY GROUP	2030	DISTRIBUTION FACILITIES & STORAGE MANAGEMENT	646	96423	14.3
202503	14	LIBRARY AND ARCHIVES GROUP	1420	ARCHIVIST	624	112483	13.6
202503	11	BUSINESS AND INDUSTRY GROUP	1104	PROPERTY DISPOSAL	622	97242	16.1
202503	65	"AMMUNITION, EXPLOSIVES, AND TOXIC MATERIALS WORK FAMILY"	6502	EXPLOSIVES OPERATING	620	58877	10
202503	11	BUSINESS AND INDUSTRY GROUP	1171	APPRAISING	617	132133	11.3
202503	65	"AMMUNITION, EXPLOSIVES, AND TOXIC MATERIALS WORK FAMILY"	6501	"MISC AMMUN, EXPLOSIVES, & TOXIC MATER WORK"	614	66664	8.7
202503	53	INDUSTRIAL EQUIPMENT MAINTENANCE FAMILY	5350	PRODUCTION MACHINERY MECHANIC	614	75911	11.5
202503	66	ARMAMENT WORK FAMILY	6641	ORDNANCE EQUIPMENT MECHANIC	608	80762	9
202503	17	EDUCATION GROUP	1720	EDUCATION PROGRAM	604	133268	11.9
202503	26	ELECTRONIC EQUIPMENT INSTALLATION AND MAINTENANCE FAMILY	2602	ELECTRONIC MEASUREMENT EQUIPMENT MECHANIC	596	82636	10.2
202503	57	TRANSPORTATION/MOBILE EQUIPMENT OPERATION FAMILY	5701	MISC TRANSPORTATION/MOBILE EQUIPMENT OPER	589	302349	12.2
202503	36	STRUCTURAL AND FINISHING WORK FAMILY	3610	INSULATING	580	78771	9
202503	13	PHYSICAL SCIENCES GROUP	1370	CARTOGRAPHY	579	114969	14.7
202503	10	INFORMATION AND ARTS GROUP	1015	MUSEUM CURATOR	566	118955	15.6
202503	15	MATHEMATICS AND STATISTICS GROUP	1531	STATISTICAL ASSISTANT	550	51580	13.7
202503	21	TRANSPORTATION GROUP	2121	RAILROAD SAFETY	550	117382	10.2
202503	31	FABRIC AND LEATHER WORK FAMILY	3105	FABRIC WORKING	539	71542	10.1
202503	18	INVESTIGATION GROUP	1881	CUSTOMS AND BORDER PROTECTION INTERDICTION	530	137389	12.7
202503	99	VESSEL JOBS FAMILY (EXCLUDED FROM THE FEDERAL WAGE SYSTEM)	9925	ABLE SEAMAN-MAINTENANCE	528	55876	11.7
202503	11	BUSINESS AND INDUSTRY GROUP	1130	PUBLIC UTILITIES SPECIALIST	519	126719	15.2
202503	21	TRANSPORTATION GROUP	2123	MOTOR CARRIER SAFETY	511	89300	11.3
202503	57	TRANSPORTATION/MOBILE EQUIPMENT OPERATION FAMILY	5705	TRACTOR OPERATING	504	60174	10.2
202503	13	PHYSICAL SCIENCES GROUP	1361	NAVIGATIONAL INFORMATION	504	144773	15.7
202503	28	ELECTRICAL INSTALLATION AND MAINTENANCE FAMILY	2854	ELECTRICAL EQUIPMENT REPAIRER	501	73797	11.9
202503	50	PLANT AND ANIMAL WORK FAMILY	5003	GARDENING	500	65424	10.2
202503	5	ACCOUNTING AND BUDGET GROUP	540	VOUCHER EXAMINING	494	59063	12.7
202503	13	PHYSICAL SCIENCES GROUP	1330	ASTRONOMY AND SPACE SCIENCE	494	169394	14
202503	11	BUSINESS AND INDUSTRY GROUP	1146	AGRICULTURAL MARKETING	489	122422	16.2
202503	66	ARMAMENT WORK FAMILY	6610	SMALL ARMS REPAIRING	488	66521	8.7
202503	4	BIOLOGICAL SCIENCES GROUP	440	GENETICS	485	136261	14
202503	4	BIOLOGICAL SCIENCES GROUP	415	TOXICOLOGY	484	144785	11.4
202503	12	"COPYRIGHT, PATENT, AND TRADEMARK GROUP"	1222	PATENT ATTORNEY	482	194227	15
202503	7	VETERINARY MEDICAL SCIENCE GROUP	704	ANIMAL HEALTH TECHNICIAN	478	66220	12.5
202503	4	BIOLOGICAL SCIENCES GROUP	414	ENTOMOLOGY	478	130004	15
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	683	DENTAL LABORATORY AID AND TECHNICIAN	464	73617	12.5
202503	4	BIOLOGICAL SCIENCES GROUP	485	WILDLIFE REFUGE MANAGEMENT	463	112814	20.3
202503	21	TRANSPORTATION GROUP	2185	AIRCREW TECHNICIAN	462	82511	10.1
202503	10	INFORMATION AND ARTS GROUP	1008	INTERIOR DESIGN	461	106732	9.3
202503	1	"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP"	131	INTERNATIONAL RELATIONS	461	138513	11.1
202503	0	MISCELLANEOUS OCCUPATIONS GROUP	17	EXPLOSIVES SAFETY	460	111979	11.1
202503	53	INDUSTRIAL EQUIPMENT MAINTENANCE FAMILY	5318	LOCK AND DAM REPAIRING	457	82306	13.3
202503	54	INDUSTRIAL EQUIPMENT OPERATION FAMILY	5406	UTILITY SYSTEMS OPERATING	456	73935	10.6
202503	11	BUSINESS AND INDUSTRY GROUP	1103	INDUSTRIAL PROPERTY MANAGEMENT	454	109273	13.6
202503	13	PHYSICAL SCIENCES GROUP	1360	OCEANOGRAPHY	454	141901	15.2
202503	4	BIOLOGICAL SCIENCES GROUP	499	BIOLOGICAL SCIENCE STUDENT TRAINEE	453	41294	1.6
202503	0	MISCELLANEOUS OCCUPATIONS GROUP	23	OUTDOOR RECREATION PLANNING	452	93015	13.8
202503	5	ACCOUNTING AND BUDGET GROUP	561	BUDGET CLERICAL AND ASSISTANCE	451	58404	11.3
202503	12	"COPYRIGHT, PATENT, AND TRADEMARK GROUP"	1220	PATENT ADMINISTRATION	445	197193	23.6
202503	16	"EQUIPMENT, FACILITIES, AND SERVICES GROUP"	1630	CEMETERY ADMINISTRATION SERVICES	442	85416	9.9
202503	16	"EQUIPMENT, FACILITIES, AND SERVICES GROUP"	1667	FOOD SERVICES	438	94363	13.2
202503	18	INVESTIGATION GROUP	1894	CUSTOMS ENTRY AND LIQUIDATING	435	110347	19.4
202503	9	LEGAL AND KINDRED GROUP	987	TAX LAW SPECIALIST	434	147721	16.9
202503	18	INVESTIGATION GROUP	1831	SECURITIES COMPLIANCE EXAMINING	432	234477	12.9
202503	1	"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP"	189	RECREATION AID AND ASSISTANT	430	51000	11.4
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	667	ORTHOTIST AND PROSTHETIST	429	102899	9.2
202503	13	PHYSICAL SCIENCES GROUP	1341	METEOROLOGICAL TECHNICIAN	427	88357	14.4
202503	8	ENGINEERING AND ARCHITECTURE GROUP	803	SAFETY ENGINEERING	427	141538	14.6
202503	46	WOOD WORK FAMILY	4604	WOOD WORKING	419	65596	9.8
202503	13	PHYSICAL SCIENCES GROUP	1313	GEOPHYSICS	418	143038	14.2
202503	34	MACHINE TOOL WORK FAMILY	3416	TOOLMAKING	408	87462	14.2
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	646	PATHOLOGY TECHNICIAN	405	70597	10.1
202503	48	GENERAL EQUIPMENT MAINTENANCE FAMILY	4818	AIRCRAFT SURVIVAL FLIGHT EQUIPMENT REPAIR	395	77549	8.9
202503	12	"COPYRIGHT, PATENT, AND TRADEMARK GROUP"	1226	DESIGN PATENT EXAMINING	392	124327	7.4
202503	4	BIOLOGICAL SCIENCES GROUP	480	FISH AND WILDLIFE ADMINISTRATION	387	165938	21.2
202503	0	MISCELLANEOUS OCCUPATIONS GROUP	30	SPORTS SPECIALIST	385	80874	14.1
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	673	HOSPITAL HOUSEKEEPING MANAGEMENT	382	98121	14.1
202503	3	"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP"	382	TELEPHONE OPERATING	378	44640	10.8
202503	13	PHYSICAL SCIENCES GROUP	1373	LAND SURVEYING	377	106074	14.1
202503	11	BUSINESS AND INDUSTRY GROUP	1145	AGRICULTURAL PROGRAM SPECIALIST	377	111718	18.1
202503	38	METAL WORK FAMILY	3801	MISCELLANEOUS METAL WORK	375	76108	11.9
202503	16	"EQUIPMENT, FACILITIES, AND SERVICES GROUP"	1654	PRINTING SERVICES	375	121143	18.5
202503	33	INSTRUMENT WORK FAMILY	3359	INSTRUMENT MECHANIC	369	74850	11.5
202503	88	AIRCRAFT OVERHAUL FAMILY	8840	AIRCRAFT MECHNICAL PARTS REPAIRING	369	76430	14.1
202503	14	LIBRARY AND ARCHIVES GROUP	1411	LIBRARY TECHNICIAN	365	62135	15
202503	3	"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP"	304	INFORMATION RECEPTIONIST	357	46300	9.5
202503	33	INSTRUMENT WORK FAMILY	3378	PRECISION MEASUREMENT EQUIPMENT CALIBRATING	356	79145	10.4
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	648	THERAPEUTIC RADIOLOGIC TECHNOLOGIST	343	118601	9.6
202503	50	PLANT AND ANIMAL WORK FAMILY	5048	ANIMAL CARETAKING	343	54878	7.4
202503	35	GENERAL SERVICES AND SUPPORT WORK FAMILY	3501	MISC GENERAL SERVICES AND SUPPORT WORK	340	55552	7.6
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	651	RESPIRATORY THERAPIST	333	76102	9.7
202503	48	GENERAL EQUIPMENT MAINTENANCE FAMILY	4801	MISC GENERAL EQUIPMENT MAINTENANCE	332	65965	8.5
202503	1	"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP"	119	ECONOMICS ASSISTANT	331	56502	8.8
202503	9	LEGAL AND KINDRED GROUP	993	RAILROAD RETIREMENT CLAIMS EXAMINING	327	90632	15.4
202503	70	PACKING AND PROCESSING FAMILY	7002	PACKING	321	60145	9.6
202503	8	ENGINEERING AND ARCHITECTURE GROUP	890	AGRICULTURAL ENGINEERING	319	107467	14.6
202503	11	BUSINESS AND INDUSTRY GROUP	1199	BUSINESS AND INDUSTRY STUDENT TRAINEE	318	40111	1.1
202503	8	ENGINEERING AND ARCHITECTURE GROUP	881	PETROLEUM ENGINEERING	318	134293	12.5
202503	50	PLANT AND ANIMAL WORK FAMILY	5026	PEST CONTROLLING	316	73561	11.3
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	699	MEDICAL AND HEALTH STUDENT TRAINEE	315	49559	1.3
202503	48	GENERAL EQUIPMENT MAINTENANCE FAMILY	4804	LOCKSMITHING	314	71275	10.9
202503	4	BIOLOGICAL SCIENCES GROUP	413	PHYSIOLOGY	312	133178	12.8
202503	10	INFORMATION AND ARTS GROUP	1060	PHOTOGRAPHY	312	93379	13.3
202503	4	BIOLOGICAL SCIENCES GROUP	430	BOTANY	312	92455	13
202503	10	INFORMATION AND ARTS GROUP	1010	EXHIBITS SPECIALIST	311	97794	14.8
202503	8	ENGINEERING AND ARCHITECTURE GROUP	807	LANDSCAPE ARCHITECTURE	311	116259	12.9
202503	1	"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP"	187	SOCIAL SERVICES	307	64031	10.7
202503	15	MATHEMATICS AND STATISTICS GROUP	1510	ACTUARIAL SCIENCE	305	164404	14.4
202503	38	METAL WORK FAMILY	3869	METAL FORMING MACHINE OPERATING	303	69849	10.1
202503	54	INDUSTRIAL EQUIPMENT OPERATION FAMILY	5409	WATER TREATMENT PLANT OPERATING	301	76470	10.3
202503	8	ENGINEERING AND ARCHITECTURE GROUP	817	SURVEY TECHNICAL	289	69919	8.7
202503	8	ENGINEERING AND ARCHITECTURE GROUP	804	FIRE PROTECTION ENGINEERING	288	142584	13.6
202503	37	METAL PROCESSING FAMILY	3711	ELECTROPLATING	276	70559	10.1
202503	22	INFORMATION TECHNOLOGY GROUP	2299	INFORMATION TECHNOLOGY STUDENT TRAINEE	271	45106	1.2
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	635	KINESIOTHERAPY	270	98651	17.7
202503	9	LEGAL AND KINDRED GROUP	904	LAW CLERK	268	93301	0.8
202503	46	WOOD WORK FAMILY	4605	WOOD CRAFTING	266	72814	7.9
202503	36	STRUCTURAL AND FINISHING WORK FAMILY	3603	MASONRY	264	71181	11.9
202503	26	ELECTRONIC EQUIPMENT INSTALLATION AND MAINTENANCE FAMILY	2601	MISC ELECTRONIC EQUIPMT INSTALL & MAINTNE	263	107945	13.9
202503	5	ACCOUNTING AND BUDGET GROUP	599	FINANCIAL MANAGEMENT STUDENT TRAINEE	263	44882	1.1
202503	0	MISCELLANEOUS OCCUPATIONS GROUP	84	NUCLEAR MATERIALS COURIER	260	89698	8.7
202503	15	MATHEMATICS AND STATISTICS GROUP	1599	MATHEMATICS AND STATISTICS STUDENT TRAINEE	259	48530	1.3
202503	99	VESSEL JOBS FAMILY (EXCLUDED FROM THE FEDERAL WAGE SYSTEM)	9965	WIPER	256	42135	2.5
202503	44	PRINTING FAMILY	4402	BINDERY WORKING	255	98599	11.4
202503	99	VESSEL JOBS FAMILY (EXCLUDED FROM THE FEDERAL WAGE SYSTEM)	9957	ENGINE UTILITYMAN	254	49916	8.1
202503	13	PHYSICAL SCIENCES GROUP	1399	PHYSICAL SCIENCE STUDENT TRAINEE	254	47788	1.6
202503	54	INDUSTRIAL EQUIPMENT OPERATION FAMILY	5408	SEWAGE DISPOSAL PLANT OPERATING	253	73537	10.5
202503	1	"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP"	142	WORKFORCE DEVELOPMENT	253	130025	13.8
202503	53	INDUSTRIAL EQUIPMENT MAINTENANCE FAMILY	5309	HEATING & BOILER PLANT EQUIPMT MECHANIC	252	74947	11.1
202503	34	MACHINE TOOL WORK FAMILY	3401	MISCELLANEOUS MACHINE TOOL WORK	251	87511	15.4
202503	3	"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP"	392	GENERAL TELECOMMUNICATIONS	250	68300	10.5
202503	21	TRANSPORTATION GROUP	2125	HIGHWAY SAFETY	248	132075	14.1
202503	69	WAREHOUSING AND STOCK HANDLING FAMILY	6913	HAZARDOUS WASTE DISPOSING	245	63228	9.1
202503	1	"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP"	199	SOCIAL SCIENCE STUDENT TRAINEE	243	54251	1.1
202503	4	BIOLOGICAL SCIENCES GROUP	434	PLANT PATHOLOGY	243	135102	14.7
202503	13	PHYSICAL SCIENCES GROUP	1371	CARTOGRAPHIC TECHNICIAN	231	75435	16.3
202503	21	TRANSPORTATION GROUP	2154	AIR TRAFFIC ASSISTANCE	229	82143	13
202503	57	TRANSPORTATION/MOBILE EQUIPMENT OPERATION FAMILY	5786	SMALL CRAFT OPERATING	227	81195	11.1
202503	50	PLANT AND ANIMAL WORK FAMILY	5001	MISCELLANEOUS PLANT AND ANIMAL WORK	225	67949	9.5
202503	99	VESSEL JOBS FAMILY (EXCLUDED FROM THE FEDERAL WAGE SYSTEM)	9924	ABLE SEAMAN	225	58397	12.6
202503	0	MISCELLANEOUS OCCUPATIONS GROUP	82	UNITED STATES MARSHAL	225	99022	4.7
202503	0	MISCELLANEOUS OCCUPATIONS GROUP	99	GENERAL STUDENT TRAINEE	218	42984	1.3
202503	70	PACKING AND PROCESSING FAMILY	7009	EQUIPMENT CLEANING	218	62383	9.5
202503	4	BIOLOGICAL SCIENCES GROUP	471	AGRONOMY	217	108038	14.2
202503	44	PRINTING FAMILY	4406	LETTERPRESS OPERATING	216	135881	12
202503	2	HUMAN RESOURCES MANAGEMENT GROUP	244	LABOR-MANAGEMENT RELATIONS EXAMINING	214	143914	18.1
202503	9	LEGAL AND KINDRED GROUP	965	LAND LAW EXAMINING	212	77641	13
202503	22	INFORMATION TECHNOLOGY GROUP	2230	DHS CYBERSECURITY SPECIALIST (FOR DHS USE ONLY)	211	159354	6.6
202503	25	WIRE COMMUNICATIONS EQUIPMENT INSTALLATION AND MAINTENANCE FAMILY	2502	TELECOMMUNICATIONS MECHANIC	210	78387	10.3
202503	52	MISCELLANEOUS OCCUPATIONS FAMILY	5201	MISCELLANEOUS OCCUPATIONS	209	77396	9
202503	57	TRANSPORTATION/MOBILE EQUIPMENT OPERATION FAMILY	5788	DECKHAND	207	60475	6
202503	88	AIRCRAFT OVERHAUL FAMILY	8862	AIRCRAFT ATTENDING	207	64806	8.6
202503	4	BIOLOGICAL SCIENCES GROUP	455	RANGE TECHNICIAN	206	58695	11.3
202503	21	TRANSPORTATION GROUP	2110	TRANSPORTATION INDUSTRY ANALYSIS	202	143285	10.6
202503	54	INDUSTRIAL EQUIPMENT OPERATION FAMILY	5401	MISC INDUSTRIAL EQUIPMENT OPERATION	195	78435	14.6
202503	69	WAREHOUSING AND STOCK HANDLING FAMILY	6941	BULK MONEY HANDLING	193	68512	13.9
202503	73	"LAUNDRY, DRY CLEANING, AND PRESSING FAMILY"	7305	LAUNDRY MACHINE OPERATING	191	52371	11.5
202503	28	ELECTRICAL INSTALLATION AND MAINTENANCE FAMILY	2801	MISC ELECTRICAL INSTALLATION & MAINTENANCE	189	94168	14
202503	21	TRANSPORTATION GROUP	2131	FREIGHT RATE	187	65583	13.3
202503	57	TRANSPORTATION/MOBILE EQUIPMENT OPERATION FAMILY	5767	AIRFIELD CLEARING EQUIPMENT OPERATING	181	70242	8
202503	99	VESSEL JOBS FAMILY (EXCLUDED FROM THE FEDERAL WAGE SYSTEM)	9923	BOATSWAIN'S MATE	175	61606	17.2
202503	99	VESSEL JOBS FAMILY (EXCLUDED FROM THE FEDERAL WAGE SYSTEM)	9934	THIRD ASSISTANT ENGINEER	174	91616	6.6
202503	46	WOOD WORK FAMILY	4602	BLOCKING AND BRACING	174	63592	10.3
202503	54	INDUSTRIAL EQUIPMENT OPERATION FAMILY	5423	SANDBLASTING	173	60898	11.1
202503	69	WAREHOUSING AND STOCK HANDLING FAMILY	6968	AIRCRAFT FREIGHT LOADING	172	74990	10.8
202503	47	GENERAL MAINTENANCE AND OPERATIONS WORK FAMILY	4737	GENERAL EQUIPMENT MECHANIC	170	73538	14.1
202503	99	VESSEL JOBS FAMILY (EXCLUDED FROM THE FEDERAL WAGE SYSTEM)	9933	SECOND ASSISTANT ENGINEER	170	112614	12.6
202503	54	INDUSTRIAL EQUIPMENT OPERATION FAMILY	5415	AIR CONDITIONING EQUIPMENT OPERATING	166	76004	12.1
202503	20	SUPPLY GROUP	2032	PACKAGING	164	104707	16.3
202503	42	PLUMBING AND PIPEFITTING FAMILY	4255	FUEL DISTRIBUTION SYSTEM MECHANIC	164	80544	10.4
202503	99	VESSEL JOBS FAMILY (EXCLUDED FROM THE FEDERAL WAGE SYSTEM)	9907	THIRD OFFICER	163	83457	4.3
202503	1	"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP"	135	FOREIGN AGRICULTURAL AFFAIRS	162	153421	16.1
202503	66	ARMAMENT WORK FAMILY	6605	ARTILLERY REPAIRING	161	67956	8.8
202503	3	"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP"	350	EQUIPMENT OPERATOR	160	50544	14.8
202503	99	VESSEL JOBS FAMILY (EXCLUDED FROM THE FEDERAL WAGE SYSTEM)	9994	ASSISTANT STOREKEEPER	156	43051	5.9
202503	15	MATHEMATICS AND STATISTICS GROUP	1501	GENERAL MATHEMATICS AND STATISTICS	154	167850	10.1
202503	10_OR_LESS	10_OR_LESS	10_OR_LESS	10_OR_LESS	154	77775	16.5
