AGYSUB,ACC,EFDATE,AGELVL,EDLVL,GSEGRD,LOSLVL,LOC,OCC,PATCO,PPGRD,SALLVL,TOA,WORKSCH,WORKSTAT,COUNT,SALARY,LOS
AG08,AA,201601,D,08,11,C,29,0110,1,GS-11,G,10,F,1,1,075136,03.3
AG10,AC,201501,D,04,11,A,11,0110,1,GS-11,F,15,F,1,1,063722,00.0
AG10,AC,201501,B,13,09,A,11,0110,1,GS-09,E,15,F,1,1,052668,00.0
AG10,AC,201611,C,17,09,A,11,0110,1,GS-09,E,15,F,1,1,053435,00.0
AG10,AC,201601,E,17,11,A,11,0110,1,GS-11,F,15,F,1,1,066805,00.0
AG10,AC,201504,D,13,11,A,11,0110,1,GS-11,F,15,F,1,1,067971,00.0
AG10,AD,201806,B,09,04,A,11,0119,3,GS-04,C,40,G,2,1,033172,00.0
AG10,AA,201609,C,15,13,A,11,0110,1,GS-13,I,10,F,1,1,095217,00.0
AG10,AD,201707,B,11,03,A,11,0119,3,GS-03,B,40,F,2,1,028886,00.0
AG10,AC,201502,E,17,11,A,11,0110,1,GS-11,F,15,F,1,1,065847,00.0
AG10,AC,201502,B,04,09,A,11,0110,1,GS-09,E,15,F,1,1,052668,00.0
AG10,AC,201502,C,04,11,A,11,0110,1,GS-11,F,15,F,1,1,063722,00.0
AG10,AD,201706,A,08,02,A,11,0119,3,GS-02,B,40,F,2,1,026474,00.0
AG10,AD,201706,A,08,03,A,11,0119,3,GS-03,B,40,F,2,1,028886,00.0
AG10,AD,201606,A,12,03,A,11,0119,3,GS-03,B,40,F,2,1,028078,00.0
AG10,AD,201706,A,08,03,A,11,0119,3,GS-03,B,40,F,2,1,028886,00.0
AG10,AD,201506,B,04,03,A,11,0119,3,GS-03,B,40,G,2,1,027675,00.0
AG10,AD,201506,A,08,03,A,11,0119,3,GS-03,B,40,G,2,1,027675,00.0
AG10,AD,201506,A,13,03,A,11,0119,3,GS-03,B,40,G,2,1,027675,00.0
AG10,AD,201702,D,13,14,A,11,0110,1,GS-14,K,42,F,2,1,112021,00.0
AG10,AC,201607,C,17,09,A,11,0110,1,GS-09,E,15,F,1,1,053435,00.0
AG10,AD,201607,B,17,09,A,11,0110,1,GS-09,E,35,F,1,1,053435,00.0
AG10,AD,201610,F,13,14,A,11,0110,1,GS-14,N,42,F,2,1,141555,00.0
AG10,AD,201605,C,13,11,A,11,0110,1,GS-11,F,42,F,2,1,064650,00.0
AG10,AC,201804,D,21,11,A,11,0110,1,GS-11,F,15,F,1,1,068036,00.0
AG10,AC,201508,D,13,12,D,11,0110,1,GS-12,G,15,F,1,1,076378,09.8
AG10,AC,201507,D,13,12,E,11,0110,1,GS-12,I,10,F,1,1,099296,14.1
AG10,AD,201508,E,17,14,A,11,0110,1,GS-14,K,42,F,2,1,118057,00.0
AG10,AC,201809,B,09,11,A,11,0110,1,GS-11,F,15,F,1,1,068036,00.0
AG10,AD,201809,C,13,09,A,11,0110,1,GS-09,E,35,F,1,1,056233,00.0
AG10,AC,201601,E,17,11,A,11,0110,1,GS-11,F,15,F,1,1,064650,00.0
AG10,AC,201501,C,17,09,A,11,0110,1,GS-09,E,15,F,1,1,052668,00.0
AG10,AD,201509,D,13,14,A,11,0110,1,GS-14,J,42,F,2,1,107325,00.0
AG10,AC,201501,C,17,09,A,11,0110,1,GS-09,E,15,F,1,1,052668,00.5
AG10,AD,201509,E,22,14,A,11,0110,1,GS-14,J,42,F,2,1,107325,00.0
AG10,AD,201901,C,13,09,A,11,0110,1,GS-09,E,35,F,1,1,057510,00.0
AG10,AA,201903,C,13,09,B,11,0110,1,GS-09,F,15,F,1,1,065176,02.6
AG10,AD,201906,B,04,03,B,11,0119,3,GS-03,C,40,F,2,1,030219,01.0
AG10,AD,201906,B,04,02,A,11,0119,3,GS-02,B,40,G,2,1,027696,00.0
AG10,AD,201905,A,08,02,A,11,0119,3,GS-02,B,40,G,2,1,027696,00.0
AG10,AD,201906,A,09,04,A,11,0119,3,GS-04,C,40,F,2,1,033925,00.0
AG10,AD,201906,Z,04,02,A,11,0119,3,GS-02,B,40,G,2,1,027696,00.0
AG10,AD,201906,B,09,03,A,11,0119,3,GS-03,C,40,F,2,1,030219,00.0
AG10,AC,201908,C,14,11,B,11,0110,1,GS-11,F,15,F,1,1,069581,02.3
AG10,AD,201908,B,03,09,A,11,0110,1,GS-09,E,35,F,1,1,057510,00.0
AG10,AD,201909,C,17,09,A,11,0110,1,GS-09,E,35,F,1,1,057510,00.0
AG11,AD,201606,D,17,09,D,08,0110,1,GS-09,E,35,F,1,1,052642,08.8
AG11,AD,201610,B,13,07,A,08,0110,1,GS-07,D,35,F,1,1,043037,00.0
AG11,AC,201508,D,17,13,A,30,0110,1,GS-13,H,15,F,1,1,083468,00.0
AG11,AC,201701,F,21,12,A,**,0110,1,GS-12,G,15,F,1,1,074652,00.0
AG11,AC,201509,I,18,15,A,08,0110,1,GS-15,O,10,F,1,1,153574,00.0
AG11,AC,201602,E,17,12,A,30,0110,1,GS-12,G,15,F,1,1,071012,00.0
AG11,AA,201902,F,21,13,D,08,0110,1,GS-13,K,10,F,1,1,116225,07.8
AG11,AD,201906,D,21,12,A,24,0110,1,GS-12,H,42,F,2,1,083398,00.0
AG15,AA,201504,E,04,15,C,11,0110,1,GS-15,O,10,F,1,1,158700,04.1
AG16,AE,201707,H,21,,D,11,0110,1,ES-**,P,50,F,1,1,165715,08.5
AG16,AC,201512,E,09,12,E,05,0110,1,GS-12,G,10,F,1,1,070192,13.3
AG18,AC,201412,D,13,11,A,11,0110,1,GS-11,F,15,F,1,1,063091,00.0
AG18,AC,201601,D,21,12,A,11,0110,1,GS-12,H,15,F,1,1,087821,00.0
AG18,AC,201612,F,21,09,A,11,0110,1,GS-09,E,15,F,1,1,053435,00.0
AG18,AC,201612,D,17,09,A,11,0110,1,GS-09,F,15,F,1,1,065899,00.0
AG18,AD,201612,A,07,02,A,11,0119,3,GS-02,B,40,F,2,1,025733,00.0
AG18,AC,201609,D,17,12,A,11,0110,1,GS-12,H,15,F,1,1,087821,00.0
AG18,AC,201707,E,13,09,A,11,0110,1,GS-09,G,10,F,1,1,071467,00.0
AG18,AC,201609,C,21,12,A,11,0110,1,GS-12,H,15,F,1,1,087821,00.0
AG18,AC,201609,F,21,12,A,11,0110,1,GS-12,I,15,F,1,1,095570,00.0
AG18,AA,201707,H,17,13,E,11,0110,1,GS-13,K,10,F,1,1,116914,11.2
AG18,AA,201707,F,13,15,G,11,0110,1,GS-15,O,10,F,1,1,158123,22.0
AG18,AC,201502,D,21,12,A,11,0110,1,GS-12,H,15,F,1,1,086564,00.0
AG18,AC,201802,C,14,09,A,11,0110,1,GS-09,E,15,F,1,1,056233,00.0
AG18,AC,201706,D,18,09,A,11,0110,1,GS-09,E,15,F,1,1,054972,00.0
AG18,AC,201506,F,21,12,A,11,0110,1,GS-12,H,15,F,1,1,086564,00.0
AG18,AD,201506,B,11,04,A,11,0119,3,GS-04,C,40,F,2,1,031069,00.0
AG18,AC,201801,C,14,09,A,11,0110,1,GS-09,E,15,F,1,1,056233,00.0
AG18,AC,201506,D,21,12,A,11,0110,1,GS-12,H,15,F,1,1,086564,00.0
AG18,AC,201606,D,21,12,A,11,0110,1,GS-12,I,15,F,1,1,092987,00.0
AG18,AC,201801,C,17,09,A,11,0110,1,GS-09,F,15,F,1,1,063732,00.0
AG18,AC,201712,C,17,09,A,11,0110,1,GS-09,E,15,F,1,1,054972,00.0
AG18,AC,201811,B,17,09,A,11,0110,1,GS-09,E,15,F,1,1,056233,00.0
AG18,AC,201712,E,13,13,E,11,0110,1,GS-13,I,15,F,1,1,094796,12.3
AG18,AC,201801,D,17,09,A,11,0110,1,GS-09,E,15,F,1,1,056233,00.0
AG18,AC,201503,H,21,14,A,11,0110,1,GS-14,K,15,F,1,1,118057,00.0
AG18,AC,201503,D,21,12,A,11,0110,1,GS-12,H,15,F,1,1,086564,00.0
AG18,AC,201607,C,21,12,A,11,0110,1,GS-12,J,15,F,1,1,100736,00.0
AG18,AC,201605,B,13,09,A,11,0110,1,GS-09,F,15,F,1,1,060557,00.0
AG18,AC,201605,E,04,12,A,11,0110,1,GS-12,H,15,F,1,1,087821,00.0
AG18,AC,201604,H,17,13,F,11,0110,1,GS-13,I,15,F,1,1,092145,17.7
AG18,AC,201510,D,21,12,A,11,0110,1,GS-12,H,15,F,1,1,086564,00.0
AG18,AC,201508,C,21,12,A,11,0110,1,GS-12,H,15,F,1,1,086564,00.0
AG18,AC,201507,C,21,12,A,11,0110,1,GS-12,H,15,F,1,1,086564,00.0
AG18,AC,201508,B,17,09,A,11,0110,1,GS-09,E,15,F,1,1,052668,00.0
AG18,AA,201804,G,21,15,E,11,0110,1,GS-15,O,15,F,1,1,157253,13.3
AG18,AC,201508,C,21,12,A,11,0110,1,GS-12,H,15,F,1,1,086564,00.0
AG18,AC,201508,C,21,12,A,11,0110,1,GS-12,H,15,F,1,1,086564,00.0
AG18,AC,201507,C,21,12,A,11,0110,1,GS-12,H,15,F,1,1,086564,00.0
AG18,AC,201508,E,21,12,A,11,0110,1,GS-12,H,15,F,1,1,086564,00.0
AG18,AC,201507,D,21,12,A,11,0110,1,GS-12,H,15,F,1,1,086564,00.0
AG18,AC,201507,D,21,12,A,11,0110,1,GS-12,H,15,F,1,1,086564,00.0
AG18,AC,201507,H,21,15,D,11,0110,1,GS-15,O,10,F,1,1,158700,08.5
AG18,AC,201701,E,17,09,D,11,0110,1,GS-09,G,15,F,1,1,071467,05.3
AG18,AC,201410,D,21,13,A,11,0110,1,GS-13,K,15,F,1,1,113904,00.0
AG18,AC,201608,D,13,13,D,11,0110,1,GS-13,I,15,F,1,1,092145,08.1
AG18,AC,201410,E,21,12,A,11,0110,1,GS-12,H,15,F,1,1,085703,00.0
AG18,AC,201608,H,21,15,A,11,0110,1,GS-15,P,15,F,1,1,160300,00.0
AG18,AC,201410,D,17,14,A,11,0110,1,GS-14,J,10,F,1,1,106263,00.0
AG18,AC,201608,C,21,12,A,11,0110,1,GS-12,H,15,F,1,1,087821,00.0
AG18,AC,201608,D,21,12,B,11,0110,1,GS-12,J,15,F,1,1,100736,01.8
AG18,AC,201608,D,21,12,A,11,0110,1,GS-12,I,15,F,1,1,092987,00.0
AG18,AC,201608,C,21,12,A,11,0110,1,GS-12,H,15,F,1,1,087821,00.0
AG18,AD,201608,E,21,12,A,11,0110,1,GS-12,H,42,F,2,1,087821,00.0
AG18,AD,201608,E,21,12,A,11,0110,1,GS-12,H,42,F,2,1,087821,00.0
AG18,AC,201601,C,17,09,B,11,0110,1,GS-09,E,15,F,1,1,053435,02.6
AG18,AC,201601,C,17,09,A,11,0110,1,GS-09,E,15,F,1,1,053435,00.0
AG18,AD,201411,A,08,03,A,11,0119,3,GS-03,B,40,F,2,1,027400,00.0
AG18,AC,201509,E,21,12,A,11,0110,1,GS-12,I,15,F,1,1,096750,00.0
AG18,AC,201509,D,17,09,A,11,0110,1,GS-09,E,15,F,1,1,052668,00.0
AG18,AC,201509,E,21,12,A,11,0110,1,GS-12,H,15,F,1,1,086564,00.0
AG18,AC,201509,D,17,09,A,11,0110,1,GS-09,E,15,F,1,1,052668,00.0
AG18,AC,201610,D,09,15,D,11,0110,1,GS-15,M,15,F,1,1,132352,07.2
AG18,AC,201509,E,21,12,A,11,0110,1,GS-12,H,15,F,1,1,086564,00.0
AG18,AC,201812,D,17,13,A,11,0110,1,GS-13,J,15,F,1,1,106668,00.0
AG18,AC,201902,G,17,13,A,11,0110,1,GS-13,I,15,F,1,1,099172,00.0
AG18,AC,201903,G,17,14,G,11,0110,1,GS-14,N,15,F,1,1,144538,22.1
AG18,AC,201904,E,17,14,A,11,0110,1,GS-14,M,15,F,1,1,136725,00.0
AG18,AC,201904,F,21,14,A,11,0110,1,GS-14,M,15,F,1,1,136725,00.0
AG18,AC,201903,G,17,14,G,11,0110,1,GS-14,N,15,F,1,1,144538,22.1
AG18,AC,201907,D,21,12,A,29,0110,1,GS-12,H,15,F,1,1,085223,00.0
AG18,AD,201907,E,17,12,A,29,0110,1,GS-12,H,42,F,2,1,085223,00.0
AG18,AC,201907,C,21,12,A,29,0110,1,GS-12,H,15,F,1,1,085223,00.0
AG18,AC,201907,F,21,12,A,29,0110,1,GS-12,H,15,F,1,1,085223,00.0
AG18,AD,201907,D,21,12,A,29,0110,1,GS-12,H,42,F,2,1,085223,00.0
AG18,AC,201907,E,17,12,A,29,0110,1,GS-12,H,15,F,1,1,085223,00.0
AG18,AC,201908,C,21,12,A,29,0110,1,GS-12,I,15,F,1,1,097757,00.0
AG18,AC,201908,C,21,12,A,29,0110,1,GS-12,H,15,F,1,1,085223,00.0
AG18,AC,201908,D,21,12,A,29,0110,1,GS-12,H,15,F,1,1,085223,00.0
AG18,AC,201908,D,21,12,A,29,0110,1,GS-12,H,15,F,1,1,085223,00.0
AG18,AC,201909,C,21,12,A,29,0110,1,GS-12,I,15,F,1,1,090237,00.0
AG18,AC,201909,B,17,09,A,29,0110,1,GS-09,E,15,F,1,1,051853,00.0
AG18,AC,201909,F,04,09,A,29,0110,1,GS-09,E,15,F,1,1,051853,00.0
AG30,AC,201505,D,21,14,A,51,0110,1,GS-14,J,15,F,1,1,107325,00.0
AG34,AD,201502,B,13,04,A,08,0119,3,GS-04,C,40,F,2,1,030643,00.0
AG34,AD,201606,E,01,12,A,08,0110,1,GS-12,G,40,F,2,1,076341,00.0
AG34,AC,201701,D,13,09,A,37,0110,1,GS-09,E,15,F,1,1,051477,00.0
AG34,AC,201607,F,04,11,A,08,0110,1,GS-11,F,15,F,1,1,063691,00.0
AG34,AD,201605,B,13,05,A,08,0119,3,GS-05,C,40,I,2,1,034742,00.8
AG34,AD,201605,C,20,05,A,08,0119,3,GS-05,C,40,I,2,1,034742,00.0
AG34,AC,201701,F,21,09,A,37,0110,1,GS-09,E,15,F,1,1,051477,00.0
AG37,AD,201603,D,21,12,B,11,0110,1,GS-12,G,30,F,1,1,077490,01.7
AG37,AA,201603,C,17,12,D,11,0110,1,GS-12,H,10,F,1,1,082656,05.5
AG37,AD,201508,C,17,11,A,11,0110,1,GS-11,F,35,F,1,1,063722,00.0
AG38,AC,201504,G,17,15,E,11,0110,1,GS-15,M,10,F,1,1,138871,14.6
AG38,AC,201701,H,17,15,D,11,0110,1,GS-15,N,15,F,1,1,144945,07.8
AG38,AC,201607,F,21,14,D,11,0110,1,GS-14,L,15,F,1,1,123406,05.1
AG38,AD,201610,J,13,15,A,11,0110,1,GS-15,P,48,I,2,1,160300,00.0
AG38,AC,201701,H,17,15,D,11,0110,1,GS-15,N,15,F,1,1,144945,07.8
AG38,AD,201809,E,17,11,A,11,0110,1,GS-11,F,40,F,2,1,068036,00.0
AG38,AD,201809,E,17,11,A,11,0110,1,GS-11,F,35,F,1,1,068036,00.0
AG38,AC,201908,F,20,14,E,11,0110,1,GS-14,M,10,F,1,1,136725,13.2
AGDA,AC,201411,G,13,14,A,11,0110,1,GS-14,M,15,F,1,1,138136,00.0
AGFA,AA,201607,D,17,13,C,11,0110,1,GS-13,I,10,F,1,1,095217,04.4
AGFA,AA,201805,F,21,14,D,11,0110,1,GS-14,K,10,F,1,1,118410,09.3
AGFA,AA,201604,D,13,13,C,11,0110,1,GS-13,I,10,F,1,1,092145,03.2
AGFA,AA,201608,D,17,13,D,11,0110,1,GS-13,I,10,F,1,1,095217,06.6
AGFA,AA,201511,F,17,13,C,11,0110,1,GS-13,I,10,F,1,1,090823,03.8
AM00,AD,201603,C,17,11,A,11,0110,1,GS-11,G,35,F,1,1,077579,00.8
AM00,AD,201603,E,17,,A,11,0110,1,FP-02,J,48,F,2,1,103783,00.0
AM00,AC,201612,J,21,,A,11,0110,1,ST-00,R,20,F,2,1,185100,00.0
AM00,AD,201505,K,21,,I,11,0110,1,FP-01,O,48,F,2,1,158700,32.7
AM00,AC,201606,F,17,14,F,11,0110,1,GS-14,N,15,F,1,1,141555,18.7
AM00,AD,201811,C,17,11,A,11,0110,1,GS-11,F,35,F,1,1,068036,00.0
AM00,AD,201811,C,17,11,A,11,0110,1,GS-11,F,35,F,1,1,068036,00.0
AM00,AD,201601,D,17,,D,11,0110,1,FP-05,H,48,F,2,1,081086,09.0
AM00,AD,201812,D,17,11,A,11,0110,1,GS-11,F,35,F,1,1,068036,00.0
AM00,AD,201907,F,17,,B,11,0110,1,FP-01,O,48,F,2,1,155150,02.8
AM00,AD,201908,F,17,,A,11,0110,1,FP-02,L,48,F,2,1,125718,00.0
AM00,AC,201909,E,21,15,A,11,0110,1,GS-15,M,15,F,1,1,137849,00.0
AM00,AD,201909,C,17,,A,11,0110,1,FP-05,F,48,F,2,1,066886,00.0
ARCE,AD,201501,C,13,07,A,02,0110,1,GS-07,D,35,F,1,1,043220,00.0
ARCE,AA,201806,D,13,12,D,13,0110,1,GS-12,H,10,F,1,1,088050,09.6
ARCE,AC,201609,I,21,13,A,51,0110,1,GS-13,J,20,F,2,1,104433,00.0
ARCE,AC,201609,J,17,13,A,53,0110,1,GS-13,I,10,F,1,1,090284,00.0
ARCE,AC,201707,D,17,11,A,25,0110,1,GS-11,G,15,F,1,1,072947,00.0
ARCE,AC,201609,I,18,15,I,45,0110,1,GS-15,O,20,I,2,1,152593,31.3
ARCE,AC,201502,C,17,11,A,36,0110,1,GS-11,F,15,F,1,1,060008,00.0
ARCE,AD,201512,H,17,09,A,29,0110,1,GS-09,D,35,F,1,1,048403,00.0
ARCE,AC,201803,I,21,11,A,31,0110,1,GS-11,F,15,F,1,1,061218,00.3
ARCE,AA,201505,D,17,12,D,36,0110,1,GS-12,H,10,F,1,1,084422,07.0
ARCE,AC,201706,E,21,12,A,25,0110,1,GS-12,I,15,F,1,1,090087,00.8
ARCE,AC,201807,J,17,12,A,53,0110,1,GS-12,I,20,I,2,1,095388,00.4
ARCE,AC,201807,C,13,07,A,02,0110,1,GS-07,D,15,F,1,1,045900,00.0
ARCE,AC,201506,G,17,12,A,05,0110,1,GS-12,G,15,F,1,1,070192,00.0
ARCE,AC,201811,H,13,12,A,53,0110,1,GS-12,J,15,F,1,1,100789,00.0
ARCE,AC,201811,K,17,12,J,06,0110,1,GS-12,J,20,I,2,1,103234,40.3
ARCE,AC,201701,C,17,09,A,51,0110,1,GS-09,D,15,F,1,1,049765,00.0
ARCE,AD,201702,C,13,07,A,54,0110,1,GS-07,D,35,F,1,1,040684,00.0
ARCE,AD,201607,C,17,07,A,31,0110,1,GS-07,D,35,F,1,1,040033,00.0
ARCE,AD,201607,B,13,07,A,36,0110,1,GS-07,D,35,F,1,1,041069,00.0
ARCE,AC,201607,E,17,07,A,02,0110,1,GS-07,D,15,F,1,1,043817,00.0
ARCE,AC,201705,G,21,11,A,22,0110,1,GS-11,F,15,F,1,1,060210,00.0
ARCE,AC,201708,I,13,12,I,21,0110,1,GS-12,I,20,P,2,1,093821,33.2
ARCE,AC,201610,J,17,12,J,36,0110,1,GS-12,I,20,I,2,1,094706,38.7
ARCE,AC,201610,D,17,11,D,01,0110,1,GS-11,E,15,F,1,1,059246,08.6
ARCE,AC,201610,D,17,12,A,06,0110,1,GS-12,H,15,F,1,1,084302,00.0
ARCE,AC,201508,D,17,09,A,12,0110,1,GS-09,D,15,F,1,1,048403,00.0
ARCE,AC,201801,E,13,12,D,51,0110,1,GS-12,I,10,P,2,1,095388,06.6
ARCE,AC,201809,B,13,07,A,31,0110,1,GS-07,D,15,F,1,1,041365,00.0
ARCE,AC,201508,C,17,09,A,12,0110,1,GS-09,D,15,F,1,1,048403,00.0
ARCE,AC,201809,B,13,07,A,31,0110,1,GS-07,D,15,F,1,1,041365,00.0
ARCE,AC,201410,I,13,13,I,47,0110,1,GS-13,J,20,P,2,1,101924,30.1
ARCE,AC,201511,I,13,13,I,47,0110,1,GS-13,J,20,P,2,1,102943,31.4
ARCE,AD,201608,H,17,07,A,36,0110,1,GS-07,D,35,F,1,1,041069,00.0
ARCE,AD,201611,C,13,09,A,06,0110,1,GS-09,E,30,F,1,1,054664,00.0
ARCE,AA,201808,E,17,12,E,22,0110,1,GS-12,H,10,F,1,1,083159,14.6
ARCE,AD,201901,C,13,07,A,17,0110,1,GS-07,D,35,F,1,1,046554,00.0
ARCE,AC,201902,C,17,09,A,42,0110,1,GS-09,E,15,F,1,1,055722,00.0
ARCE,AC,201902,C,17,09,A,42,0110,1,GS-09,E,15,F,1,1,055722,00.0
ARCE,AC,201904,J,04,14,A,39,0110,1,GS-14,M,20,I,2,1,134356,00.0
ARCE,AC,201904,H,04,13,A,08,0110,1,GS-13,K,20,F,2,1,119453,00.0
ARCE,AC,201907,B,13,07,A,29,0110,1,GS-07,D,15,F,1,1,042555,00.0
ARCE,AD,201907,D,17,09,A,29,0110,1,GS-09,E,38,F,1,1,052053,00.0
ARCE,AC,201907,F,17,09,A,36,0110,1,GS-09,E,15,F,1,1,059173,00.0
ARCE,AC,201906,D,17,11,A,36,0110,1,GS-11,G,15,F,1,1,071593,00.0
ARCE,AC,201908,C,21,11,A,12,0110,1,GS-11,F,15,F,1,1,062236,00.0
ARCE,AA,201909,E,13,11,D,53,0110,1,GS-11,F,10,F,1,1,062236,07.7
ARCE,AC,201909,B,04,05,A,12,0110,1,GS-05,C,15,F,1,1,033949,00.0
ARCE,AC,201909,C,13,07,A,01,0110,1,GS-07,D,15,F,1,1,042053,00.0
ARSB,AD,201701,F,17,07,A,24,0110,1,GS-07,D,35,F,1,1,044941,00.0
ARSB,AD,201502,B,13,05,A,13,0110,1,GS-05,C,35,F,1,1,031944,00.0
ARSB,AD,201706,F,13,07,A,17,0110,1,GS-07,D,35,F,1,1,040861,00.0
ARSB,AD,201706,C,04,07,A,53,0110,1,GS-07,D,35,F,1,1,043930,00.0
ARSB,AD,201807,D,17,07,C,01,0110,1,GS-07,D,35,F,1,1,041365,03.0
ARSB,AD,201807,B,13,07,A,01,0110,1,GS-07,D,35,F,1,1,041365,00.0
ARSB,AD,201506,B,13,07,A,31,0110,1,GS-07,C,35,F,1,1,039570,00.0
ARSB,AD,201503,C,13,07,B,53,0110,1,GS-07,C,35,F,1,1,039570,02.5
ARSB,AD,201503,D,13,07,A,53,0110,1,GS-07,C,35,F,1,1,039570,00.0
ARSB,AD,201702,D,13,07,A,53,0110,1,GS-07,D,35,F,1,1,049789,00.4
ARSB,AD,201702,F,17,07,A,48,0110,1,GS-07,D,35,F,1,1,043354,00.0
ARSB,AD,201705,C,13,07,A,22,0110,1,GS-07,D,35,F,1,1,040684,00.0
ARSB,AD,201508,C,13,07,A,01,0110,1,GS-07,C,35,F,1,1,039570,00.0
ARSB,AD,201808,D,17,07,A,01,0110,1,GS-07,D,35,F,1,1,041365,00.0
ARXR,AC,201809,B,17,,A,24,0110,1,DB-03,H,20,F,2,1,083210,00.0
ARXR,AC,201610,C,13,,A,24,0110,1,DB-03,H,15,F,1,1,088224,00.0
BG00,AC,201506,D,18,12,A,11,0110,1,GS-12,H,10,F,1,1,081471,00.0
BG00,AC,201804,G,21,13,F,11,0110,1,GS-13,K,15,F,1,1,116365,15.7
BG00,AA,201907,E,13,12,E,11,0110,1,GS-12,H,10,F,1,1,086179,12.6
BO00,AC,201710,G,21,15,E,11,0110,1,GS-15,P,10,F,1,1,161900,10.2
BO00,AC,201505,D,21,14,A,11,0110,1,GS-14,J,15,F,1,1,107325,00.7
BO00,AA,201506,D,21,13,B,11,0110,1,GS-13,I,15,F,1,1,096878,02.8
BO00,AC,201807,C,21,12,A,11,0110,1,GS-12,H,15,F,1,1,081548,00.0
BO00,AC,201801,C,21,15,A,11,0110,1,GS-15,M,15,F,1,1,134789,00.0
BO00,AC,201809,D,21,12,A,11,0110,1,GS-12,J,15,F,1,1,106012,00.0
BO00,AC,201507,D,21,12,A,11,0110,1,GS-12,I,15,F,1,1,099296,00.0
BO00,AC,201808,D,21,12,A,11,0110,1,GS-12,J,15,F,1,1,100576,00.0
CE00,AD,201609,C,17,,A,11,0110,1,AD-00,E,48,F,2,1,052000,00.0
CE00,AD,201707,B,17,,A,11,0110,1,AD-00,E,48,F,2,1,050000,00.0
CE00,AD,201707,B,14,,A,11,0110,1,AD-00,E,48,F,2,1,050000,00.0
CE00,AD,201707,D,21,,A,11,0110,1,AD-00,M,48,F,2,1,137500,00.0
CE00,AD,201512,B,09,,A,11,0110,1,AD-00,D,**,I,2,1,047500,00.0
CE00,AD,201606,B,13,,A,11,0110,1,AD-00,E,48,F,2,1,050000,00.0
CE00,AD,201606,B,13,,A,11,0110,1,AD-00,E,48,F,2,1,050000,00.0
CE00,AD,201807,C,21,,A,11,0110,1,AD-00,I,38,F,1,1,090000,00.0
CE00,AD,201606,C,13,,A,11,0110,1,AD-00,E,48,F,2,1,050000,00.0
CE00,AD,201606,B,13,,A,11,0110,1,AD-00,E,48,F,2,1,050000,00.0
CE00,AD,201606,C,18,,A,11,0110,1,AD-00,E,48,F,2,1,052000,00.0
CE00,AD,201606,D,21,,B,11,0110,1,AD-00,L,48,F,2,1,128000,02.8
CE00,AD,201811,D,17,,A,11,0110,1,AD-00,G,48,F,2,1,070000,00.4
CE00,AD,201709,D,21,,A,11,0110,1,AD-00,M,48,F,2,1,137500,00.0
CE00,AD,201709,C,21,,A,11,0110,1,AD-00,I,48,F,2,1,090000,00.0
CE00,AD,201709,C,17,,A,11,0110,1,AD-00,E,48,F,2,1,050000,00.0
CE00,AD,201607,B,17,,A,11,0110,1,AD-00,E,48,F,2,1,050000,00.0
CE00,AD,201607,B,14,,A,11,0110,1,AD-00,E,48,F,2,1,050000,00.0
