AGYSUB,SEP,EFDATE,AGELVL,EDLVL,GSEGRD,LOSLVL,LOC,OCC,PATCO,PPGRD,SALLVL,TOA,WORKSCH,WORKSTAT,COUNT,SALARY,LOS
AG10,SC,201710,D,13,12,D,11,0110,1,GS-12,H,10,F,1,1,085035,06.6
AG10,SC,201709,D,13,14,C,11,0110,1,GS-14,K,42,F,2,1,115755,04.2
AG10,SA,201701,F,21,14,D,11,0110,1,GS-14,L,42,F,2,1,123406,07.1
AG10,SB,201801,E,17,12,C,11,0110,1,GS-12,H,10,F,1,1,084266,03.6
AG10,SC,201702,D,13,12,B,11,0110,1,GS-12,G,15,F,1,1,079720,01.8
AG10,SJ,201708,A,08,03,A,11,0119,3,GS-03,B,40,F,2,1,028886,00.1
AG10,SA,201610,E,17,12,C,11,0110,1,GS-12,G,15,F,1,1,077490,03.7
AG10,SJ,201508,B,04,03,A,11,0119,3,GS-03,B,40,G,2,1,027675,00.1
AG10,SJ,201809,B,08,05,B,11,0119,3,GS-05,C,40,G,2,1,037113,02.9
AG10,SJ,201608,B,12,03,A,11,0119,3,GS-03,B,40,F,2,1,028078,00.2
AG10,SJ,201808,B,11,04,B,11,0119,3,GS-04,C,40,G,2,1,034277,01.1
AG10,SJ,201808,B,09,04,A,11,0119,3,GS-04,C,40,G,2,1,033172,00.2
AG10,SC,201808,D,13,11,B,11,0110,1,GS-11,G,42,F,2,1,072573,02.2
AG10,SA,201901,E,17,12,B,11,0110,1,GS-12,H,15,F,1,1,084266,02.9
AG10,SB,201902,E,04,12,C,11,0110,1,GS-12,I,10,F,1,1,091740,04.0
AG10,SJ,201902,I,22,14,D,11,0110,1,GS-14,M,42,F,2,1,133689,07.0
AG10,SC,201902,D,04,12,E,11,0110,1,GS-12,I,10,F,1,1,092421,13.2
AG10,SD,201905,K,17,14,H,11,0110,1,GS-14,O,10,F,1,1,152352,29.1
AG10,SC,201906,C,13,12,C,11,0110,1,GS-12,H,10,F,1,1,086179,04.4
AG10,SC,201905,E,13,12,C,11,0110,1,GS-12,I,10,F,1,1,091740,03.8
AG10,SB,201907,H,17,13,F,11,0110,1,GS-13,L,10,F,1,1,128920,16.4
AG10,SJ,201906,H,17,14,E,11,0110,1,GS-14,N,42,F,2,1,140632,13.4
AG10,SB,201907,F,13,14,B,11,0110,1,GS-14,O,42,F,2,1,152352,02.8
AG10,SJ,201908,B,04,03,B,11,0119,3,GS-03,C,40,F,2,1,030219,01.2
AG10,SJ,201908,B,09,03,A,11,0119,3,GS-03,C,48,F,2,1,030219,00.2
AG10,SB,201908,F,17,14,D,11,0110,1,GS-14,L,42,F,2,1,128911,08.3
AG10,SJ,201908,A,09,04,A,11,0119,3,GS-04,C,40,F,2,1,033925,00.2
AG10,SB,201909,E,13,14,D,11,0110,1,GS-14,L,42,F,2,1,125005,07.7
AG10,SC,201909,B,13,05,C,11,0119,3,GS-05,C,40,G,2,1,037955,03.4
AG11,SD,201806,J,21,13,F,55,0110,1,GS-13,J,10,F,1,1,104703,16.2
AG11,SD,201806,K,21,,J,08,0110,1,ST-00,R,10,F,1,1,183575,47.4
AG11,SD,201612,K,20,15,J,06,0110,1,GS-15,O,10,F,1,1,157237,36.9
AG11,SD,201505,I,17,13,F,30,0110,1,GS-13,J,10,F,1,1,100161,15.8
AG11,SC,201706,C,14,11,B,11,0110,1,GS-11,F,15,F,1,1,066510,02.3
AG11,SF,201803,I,21,12,F,41,0110,1,GS-12,J,10,F,1,1,101308,19.0
AG11,SD,201605,J,17,14,G,**,0110,1,GS-14,L,10,F,1,1,126934,23.9
AG11,SD,201410,J,21,13,J,41,0110,1,GS-13,K,10,F,1,1,113259,36.1
AG11,SC,201808,F,21,12,B,**,0110,1,GS-12,G,15,F,1,1,078549,01.6
AG11,SD,201810,K,17,13,J,55,0110,1,GS-13,K,10,F,1,1,113428,44.3
AG11,SA,201902,E,17,14,E,11,0110,1,GS-14,L,10,F,1,1,129869,11.5
AG11,SD,201906,J,17,14,H,08,0110,1,GS-14,L,10,F,1,1,129716,29.8
AG11,SD,201906,J,21,15,J,11,0110,1,GS-15,P,10,F,1,1,166500,35.3
AG11,SC,201908,I,18,15,E,08,0110,1,GS-15,P,10,F,1,1,166500,14.2
AG15,SC,201807,E,04,15,D,11,0110,1,GS-15,P,10,F,1,1,164200,07.3
AG16,SD,201612,K,17,12,J,10,0110,1,GS-12,I,10,F,1,1,098669,39.1
AG16,SD,201612,J,17,12,H,22,0110,1,GS-12,I,10,F,1,1,092316,29.8
AG16,SD,201805,I,17,15,I,24,0110,1,GS-15,P,10,F,1,1,164200,34.3
AG16,SC,201705,H,17,12,D,48,0110,1,GS-12,G,10,F,1,1,079386,07.8
AG16,SD,201601,J,21,,H,11,0110,1,ES-**,Q,50,F,1,1,171679,25.1
AG16,SD,201804,I,21,14,I,48,0110,1,GS-14,M,10,F,1,1,134038,30.3
AG16,SD,201801,J,17,12,J,36,0110,1,GS-12,I,10,F,1,1,093821,35.2
AG16,SD,201410,K,21,14,G,37,0110,1,GS-14,K,10,F,1,1,117185,23.1
AG16,SD,201809,K,21,15,F,11,0110,1,GS-15,P,10,F,1,1,161746,15.7
AG16,SD,201808,J,21,15,I,11,0110,1,GS-15,P,10,F,1,1,164200,31.7
AG16,SD,201908,J,17,14,J,48,0110,1,GS-14,N,10,F,1,1,146332,38.0
AG18,SK,201703,K,17,14,J,11,0110,1,GS-14,N,10,F,1,1,145629,36.9
AG18,SD,201412,K,21,15,I,11,0110,1,GM-15,O,10,F,1,1,157100,31.2
AG18,SD,201703,J,17,12,J,11,0110,1,GS-12,J,10,F,1,1,103639,37.7
AG18,SC,201806,C,13,11,B,11,0110,1,GS-11,F,15,F,1,1,068036,02.0
AG18,SD,201806,K,18,13,J,11,0110,1,GM-13,L,10,F,1,1,126062,40.0
AG18,SD,201806,J,21,15,H,11,0110,1,GS-15,P,10,F,1,1,164200,29.4
AG18,SC,201609,F,17,12,D,11,0110,1,GS-12,I,10,P,2,1,092987,09.9
AG18,SA,201603,E,13,14,E,11,0110,1,GS-14,K,10,F,1,1,116146,14.4
AG18,SD,201701,I,13,13,I,11,0110,1,GM-13,L,10,P,2,1,123234,33.5
AG18,SD,201609,J,17,13,J,11,0110,1,GM-13,K,10,F,1,1,119794,36.8
AG18,SD,201612,J,17,13,I,11,0110,1,GM-13,K,10,F,1,1,119794,33.7
AG18,SD,201505,K,18,13,J,11,0110,1,GS-13,K,10,F,1,1,118069,40.5
AG18,SD,201505,K,21,14,J,11,0110,1,GM-14,M,10,F,1,1,139523,35.6
AG18,SD,201512,K,21,14,I,11,0110,1,GS-14,M,10,F,1,1,139523,33.5
AG18,SC,201706,D,21,13,C,11,0110,1,GS-13,J,10,F,1,1,101116,03.8
AG18,SD,201606,K,21,15,H,11,0110,1,GS-15,O,10,P,2,1,157971,27.4
AG18,SA,201706,E,21,12,A,11,0110,1,GS-12,I,42,F,2,1,090350,00.8
AG18,SD,201606,J,18,15,I,11,0110,1,GS-15,P,10,F,1,1,160300,32.3
AG18,SD,201606,K,21,13,J,11,0110,1,GM-13,K,10,F,1,1,119794,35.9
AG18,SD,201807,K,17,14,J,11,0110,1,GS-14,N,10,F,1,1,145148,38.4
AG18,SJ,201706,B,08,04,B,11,0119,3,GS-04,C,40,F,2,1,032428,02.2
AG18,SD,201506,J,17,13,J,11,0110,1,GM-13,K,10,F,1,1,118069,38.2
AG18,SD,201606,J,17,15,J,11,0110,1,GS-15,O,10,F,1,1,157971,38.3
AG18,SD,201606,J,17,15,J,11,0110,1,GM-15,P,10,F,1,1,160300,40.8
AG18,SD,201801,K,21,13,J,11,0110,1,GM-13,L,10,F,1,1,123234,39.4
AG18,SC,201506,C,21,12,B,11,0110,1,GS-12,H,15,F,1,1,086564,01.2
AG18,SD,201606,K,21,15,I,11,0110,1,GS-15,P,10,F,1,1,160300,32.0
AG18,SA,201811,E,17,12,C,11,0110,1,GS-12,H,10,F,1,1,081548,03.2
AG18,SG,201704,K,17,15,J,11,0110,1,GS-15,P,10,R,2,1,161900,40.1
AG18,SD,201811,K,21,13,J,11,0110,1,GS-13,L,10,F,1,1,126062,38.2
AG18,SD,201709,K,21,15,J,11,0110,1,GS-15,P,10,F,1,1,161900,43.4
AG18,SC,201811,E,21,13,C,11,0110,1,GS-13,J,10,F,1,1,106668,04.2
AG18,SC,201503,C,17,11,B,11,0110,1,GS-11,F,15,F,1,1,063722,01.5
AG18,SC,201801,E,21,13,C,11,0110,1,GS-13,J,10,P,2,1,101116,04.3
AG18,SD,201801,K,21,15,J,11,0110,1,GS-15,P,10,F,1,1,161900,38.4
AG18,SD,201801,J,21,15,I,11,0110,1,GS-15,P,10,F,1,1,161900,34.0
AG18,SA,201701,E,21,13,B,11,0110,1,GS-13,K,15,F,1,1,116722,02.2
AG18,SD,201801,K,21,14,E,11,0110,1,GS-14,N,10,F,1,1,148967,12.5
AG18,SC,201702,E,21,13,D,11,0110,1,GS-13,K,10,F,1,1,113755,08.5
AG18,SD,201702,I,17,13,I,11,0110,1,GS-13,L,10,P,2,1,123234,32.4
AG18,SC,201702,D,21,12,B,15,0110,1,GS-12,H,15,F,1,1,086290,02.5
AG18,SC,201805,E,21,12,B,11,0110,1,GS-12,I,15,F,1,1,095139,02.8
AG18,SD,201708,K,21,13,J,11,0110,1,GS-13,L,10,F,1,1,123234,35.3
AG18,SC,201607,D,17,13,D,11,0110,1,GS-13,I,10,F,1,1,098289,08.6
AG18,SD,201705,K,17,15,J,11,0110,1,GS-15,P,10,F,1,1,161900,36.9
AG18,SD,201604,J,21,14,H,11,0110,1,GS-14,M,10,F,1,1,134296,26.8
AG18,SD,201804,K,21,14,I,11,0110,1,GS-14,N,10,F,1,1,148967,32.9
AG18,SA,201804,F,21,13,C,11,0110,1,GS-13,J,10,F,1,1,103435,03.8
AG18,SA,201610,D,17,11,C,11,0110,1,GS-11,F,15,F,1,1,066805,03.1
AG18,SD,201601,K,21,13,H,11,0110,1,GM-13,K,10,F,1,1,118069,25.3
AG18,SD,201508,I,17,15,H,11,0110,1,GS-15,O,10,F,1,1,158700,29.9
AG18,SJ,201508,B,11,04,A,11,0119,3,GS-04,C,40,F,2,1,031069,00.1
AG18,SA,201507,G,21,13,C,11,0110,1,GS-13,J,10,F,1,1,108987,04.8
AG18,SC,201801,G,21,15,D,11,0110,1,GS-15,P,10,F,1,1,161746,08.0
AG18,SD,201701,J,17,15,J,11,0110,1,GM-15,P,10,F,1,1,160300,36.4
AG18,SA,201809,E,13,13,E,11,0110,1,GS-13,J,15,F,1,1,100203,13.1
AG18,SC,201508,E,21,12,C,11,0110,1,GS-12,H,10,F,1,1,089110,03.0
AG18,SA,201701,I,21,14,I,11,0110,1,GS-14,N,10,F,1,1,141555,33.3
AG18,SD,201501,J,17,15,I,11,0110,1,GS-15,O,10,F,1,1,154160,32.8
AG18,SD,201608,K,21,15,H,11,0110,1,GS-15,O,10,F,1,1,157971,25.3
AG18,SD,201501,K,18,15,J,11,0110,1,GM-15,O,10,F,1,1,157100,37.4
AG18,SC,201608,D,21,12,B,11,0110,1,GS-12,I,15,F,1,1,092987,02.2
AG18,SC,201608,G,21,12,B,11,0110,1,GS-12,H,15,F,1,1,087821,01.1
AG18,SA,201809,F,21,13,C,11,0110,1,GS-13,J,10,F,1,1,106668,04.8
AG18,SD,201808,J,17,15,J,11,0110,1,GS-15,P,10,F,1,1,164200,37.9
AG18,SD,201808,K,21,15,J,11,0110,1,GM-15,P,10,F,1,1,164200,38.0
AG18,SA,201608,E,21,13,D,11,0110,1,GS-13,J,10,F,1,1,101361,06.5
AG18,SC,201808,E,21,14,D,11,0110,1,GS-14,L,10,F,1,1,129869,09.0
AG18,SA,201808,E,21,13,C,11,0110,1,GS-13,J,10,F,1,1,103435,03.9
AG18,SC,201601,D,21,12,B,11,0110,1,GS-12,I,15,F,1,1,090404,02.3
AG18,SC,201808,I,21,15,C,11,0110,1,GS-15,P,10,P,2,1,164200,04.3
AG18,SK,201511,J,14,13,I,11,0110,1,GS-13,K,10,F,1,1,115041,30.2
AG18,SA,201810,D,17,11,B,11,0110,1,GS-11,G,15,F,1,1,070304,02.8
AG18,SD,201509,I,21,13,I,11,0110,1,GS-13,K,10,F,1,1,118069,32.5
AG18,SA,201810,C,17,09,A,11,0110,1,GS-09,F,15,F,1,1,063732,00.8
AG18,SC,201808,D,21,13,C,19,0110,1,GS-13,I,10,F,1,1,093069,03.1
AG18,SC,201501,F,21,14,F,11,0110,1,GS-14,L,10,P,2,1,128790,15.3
AG18,SD,201411,K,19,13,I,11,0110,1,GS-13,K,10,F,1,1,116901,34.8
AG18,SC,201812,E,13,13,C,11,0110,1,GS-13,I,10,F,1,1,096970,04.0
AG18,SC,201902,E,21,14,D,13,0110,1,GS-14,K,10,F,1,1,119109,09.6
AG18,SC,201902,D,21,13,C,11,0110,1,GS-13,J,10,F,1,1,103435,03.5
AG18,SC,201903,H,21,,D,11,0110,1,ES-**,R,50,F,1,1,188123,06.3
AG18,SC,201903,G,17,12,C,11,0110,1,GS-12,I,10,F,1,1,095139,03.2
AG18,SA,201903,D,13,13,E,11,0110,1,GS-13,J,10,F,1,1,109900,12.4
AG18,SA,201904,F,21,13,C,11,0110,1,GS-13,J,10,F,1,1,109088,04.8
AG18,SC,201904,G,21,15,F,11,0110,1,GS-15,O,15,F,1,1,151633,16.8
AG18,SC,201904,G,21,14,F,11,0110,1,GS-14,M,10,F,1,1,136725,15.6
AG18,SA,201904,F,21,13,D,11,0110,1,GS-13,K,10,F,1,1,112393,09.4
AG18,SA,201904,E,21,13,C,11,0110,1,GS-13,J,10,F,1,1,109088,04.7
AG18,SD,201907,J,17,14,J,11,0110,1,GS-14,O,10,F,1,1,152352,38.5
AG18,SD,201906,K,21,14,I,11,0110,1,GS-14,N,10,F,1,1,148445,30.0
AG18,SA,201905,F,21,14,E,11,0110,1,GS-14,L,10,F,1,1,128911,12.7
AG18,SD,201907,J,21,14,I,11,0110,1,GM-14,O,10,F,1,1,152352,34.7
AG18,SC,201907,D,21,13,C,11,0110,1,GS-13,J,10,F,1,1,109088,04.0
AG18,SA,201907,F,17,12,E,11,0110,1,GS-12,J,10,F,1,1,100081,10.3
AG18,SC,201905,D,17,13,C,11,0110,1,GS-13,I,10,F,1,1,099172,04.7
AG18,SC,201905,E,21,12,D,11,0110,1,GS-12,J,10,F,1,1,102861,09.8
AG18,SD,201908,I,21,15,I,11,0110,1,GS-15,P,10,F,1,1,166500,30.1
AG18,SC,201908,E,21,14,D,11,0110,1,GS-14,K,10,F,1,1,117191,06.0
AG18,SC,201908,D,21,13,C,11,0110,1,GS-13,J,10,F,1,1,109088,03.9
AG18,SA,201908,D,13,13,D,11,0110,1,GS-13,J,10,F,1,1,109088,09.9
AG18,SC,201908,C,14,11,B,11,0110,1,GS-11,F,15,F,1,1,069581,01.6
AG18,SD,201909,J,17,13,I,11,0110,1,GS-13,L,10,F,1,1,128920,34.0
AG18,SD,201909,K,21,13,H,11,0110,1,GS-13,L,10,F,1,1,128920,28.9
AG18,SA,201909,G,21,12,B,11,0110,1,GS-12,H,15,F,1,1,083398,02.7
AG18,SA,201909,F,21,13,C,11,0110,1,GS-13,J,10,F,1,1,105782,04.0
AG18,SD,201909,K,21,15,I,11,0110,1,GS-15,P,10,F,1,1,166500,31.1
AG18,SA,201909,E,21,12,C,11,0110,1,GS-12,J,10,F,1,1,102861,03.1
AG18,SG,201909,H,21,13,F,11,0110,1,GS-13,L,10,F,1,1,125615,17.8
AG18,SD,201909,K,21,14,H,11,0110,1,GS-14,O,10,F,1,1,152352,29.9
AG18,SD,201909,K,21,13,I,11,0110,1,GS-13,L,10,F,1,1,128920,34.7
AG18,SD,201909,K,17,15,J,11,0110,1,GS-15,P,10,F,1,1,166500,36.5
AG18,SG,201909,J,13,14,J,11,0110,1,GS-14,N,10,F,1,1,148445,38.8
AG18,SA,201909,F,21,15,D,11,0110,1,GS-15,O,10,F,1,1,151633,09.6
AG18,SD,201909,K,21,15,I,11,0110,1,GS-15,P,10,F,1,1,166500,30.2
AG18,SA,201909,E,17,13,D,11,0110,1,GS-13,J,10,F,1,1,109088,06.2
AG18,SC,201909,G,21,13,F,11,0110,1,GS-13,L,10,F,1,1,125615,18.4
AG18,SD,201909,K,17,13,J,11,0110,1,GS-13,L,10,F,1,1,128920,36.0
AG18,SA,201909,F,21,14,E,11,0110,1,GS-14,M,10,F,1,1,132818,10.1
AG18,SD,201909,J,17,13,I,11,0110,1,GS-13,L,10,F,1,1,128920,34.8
AG18,SD,201909,K,21,15,G,11,0110,1,GS-15,P,10,F,1,1,160822,20.9
AG18,SA,201909,D,21,13,C,11,0110,1,GS-13,J,10,F,1,1,105782,04.1
AG18,SD,201909,J,17,15,J,11,0110,1,GS-15,P,10,F,1,1,166500,37.3
AG18,SE,201909,I,21,14,H,11,0110,1,GS-14,O,10,F,1,1,152352,29.6
AG18,SD,201909,K,21,13,J,11,0110,1,GM-13,L,10,F,1,1,128920,40.1
AG18,SC,201909,E,04,13,C,11,0110,1,GS-13,J,10,F,1,1,105782,03.3
AG18,SE,201909,H,21,15,G,11,0110,1,GS-15,O,10,F,1,1,151633,20.5
AG18,SA,201909,F,21,12,C,11,0110,1,GS-12,J,10,F,1,1,100081,04.0
AG18,SA,201909,F,21,12,C,11,0110,1,GS-12,J,10,F,1,1,105642,03.0
AG18,SA,201909,F,21,13,C,11,0110,1,GS-13,J,10,F,1,1,109088,04.1
AG18,SA,201909,H,17,15,E,11,0110,1,GS-15,P,15,F,1,1,160822,12.2
AG18,SG,201909,K,21,15,J,11,0110,1,GS-15,P,10,F,1,1,166500,37.9
AG18,SD,201909,K,21,15,H,11,0110,1,GS-15,P,10,F,1,1,166500,29.6
AG18,SG,201909,I,17,13,H,11,0110,1,GS-13,L,10,P,2,1,128920,29.6
AG18,SD,201909,K,21,15,H,11,0110,1,GS-15,P,10,F,1,1,166500,28.5
AG18,SC,201909,G,17,15,F,11,0110,1,GS-15,O,10,F,1,1,156228,16.1
AG30,SC,201708,G,21,13,C,51,0110,1,GS-13,J,10,F,1,1,101116,03.0
AG32,SD,201501,K,21,14,J,11,0110,1,GM-14,M,10,F,1,1,138136,40.8
AG32,SD,201501,J,17,14,J,11,0110,1,GS-14,M,10,F,1,1,138136,35.0
AG32,SD,201701,K,17,14,J,11,0110,1,GS-14,N,10,F,1,1,141555,39.0
AG32,SC,201507,D,21,12,C,11,0110,1,GS-12,G,10,F,1,1,078924,03.7
AG32,SD,201901,K,17,13,J,11,0110,1,GM-13,L,10,F,1,1,126062,41.3
AG32,SD,201906,I,17,13,I,11,0110,1,GS-13,L,10,F,1,1,128920,31.4
AG32,SD,201908,J,04,14,J,12,0110,1,GM-14,M,10,F,1,1,136271,38.5
AG34,SC,201611,B,13,05,A,08,0119,3,GS-05,C,40,F,2,1,035900,00.7
AG34,SC,201806,E,21,14,D,08,0110,1,GS-14,K,10,F,1,1,119608,07.3
AG34,SC,201710,C,13,05,B,08,0119,3,GS-05,C,40,I,2,1,035581,01.5
AG34,SC,201803,E,01,12,B,08,0110,1,GS-12,H,40,F,2,1,082459,01.7
AG34,SD,201704,J,17,14,H,08,0110,1,GS-14,M,10,F,1,1,139159,26.7
AG34,SJ,201605,D,01,05,A,08,0119,3,GS-05,C,40,I,2,1,034742,00.4
AG34,SJ,201507,B,13,05,A,08,0119,3,GS-05,C,40,I,2,1,034284,00.0
AG34,SC,201410,F,21,14,E,24,0110,1,GS-14,L,10,F,1,1,120429,10.0
AG34,SD,201601,J,17,14,J,37,0110,1,GS-14,L,10,F,1,1,125356,36.3
AG34,SC,201810,I,21,14,H,08,0110,1,GS-14,N,10,F,1,1,145772,28.8
AG34,SD,201812,J,21,14,I,24,0110,1,GS-14,N,10,F,1,1,148967,31.9
AG34,SA,201903,J,21,,G,11,0110,1,ES-**,S,50,F,1,1,192300,21.5
AG34,SJ,201905,C,20,05,B,08,0119,3,GS-05,C,40,P,2,1,037069,01.6
AG36,SA,201701,D,17,12,D,13,0110,1,GS-12,H,10,F,1,1,081686,09.4
AG37,SC,201603,D,17,11,A,11,0110,1,GS-11,F,35,F,1,1,064650,00.6
AG37,SD,201609,K,15,15,G,11,0110,1,GS-15,O,10,F,1,1,153702,20.3
AG37,SA,201702,H,17,14,D,11,0110,1,GS-14,N,10,F,1,1,141894,05.6
AG37,SD,201510,I,12,14,I,11,0110,1,GS-14,M,10,F,1,1,139523,32.6
AG37,SA,201801,C,05,11,B,11,0110,1,GS-11,F,15,F,1,1,068036,02.7
AG37,SA,201508,C,11,11,B,11,0110,1,GS-11,F,15,F,1,1,063722,02.2
AG37,SA,201511,E,17,13,D,11,0110,1,GS-13,J,10,F,1,1,102932,09.0
AG38,SD,201412,J,21,,I,11,0110,1,ES-**,R,50,F,1,1,181500,30.2
AG38,SD,201803,K,21,,G,11,0110,1,ES-**,R,50,F,1,1,189600,21.2
AG38,SC,201606,E,17,13,D,11,0110,1,GS-13,I,10,F,1,1,098289,06.2
AG38,SA,201807,E,04,13,D,11,0110,1,GS-13,J,10,F,1,1,106668,06.6
AG38,SD,201712,K,13,11,J,11,0110,1,GS-11,H,10,F,1,1,086460,42.8
AG38,SD,201708,K,21,15,I,11,0110,1,GS-15,P,10,F,1,1,161900,30.8
AG38,SJ,201708,J,13,15,A,11,0110,1,GS-15,P,48,I,2,1,161900,00.3
AG38,SL,201708,E,20,14,E,11,0110,1,GS-14,L,10,F,1,1,126958,11.2
AG38,SD,201610,J,13,15,J,11,0110,1,GS-15,P,10,F,1,1,160300,40.8
AG38,SD,201608,I,17,15,I,11,0110,1,GS-15,O,10,F,1,1,157971,30.6
AG38,SD,201601,K,17,15,J,11,0110,1,GM-15,O,10,F,1,1,158700,38.5
AG38,SC,201907,G,21,,D,11,0110,1,ES-**,R,50,F,1,1,188655,06.1
AG99,SD,201902,K,17,15,J,11,0110,1,GS-15,P,10,F,1,1,164200,38.0
AG99,SC,201907,G,17,13,F,11,0110,1,GS-13,L,10,F,1,1,122310,18.1
AG99,SD,201908,K,21,14,H,11,0110,1,GS-14,O,10,F,1,1,152352,26.7
AGFA,SD,201501,I,12,14,I,29,0110,1,GS-14,L,10,F,1,1,126949,34.0
AGFA,SD,201505,J,21,15,H,11,0110,1,GS-15,O,10,F,1,1,158700,28.7
AGFA,SA,201512,D,22,13,C,11,0110,1,GS-13,I,15,F,1,1,096878,04.3
AGFA,SD,201709,K,21,14,J,11,0110,1,GS-14,N,10,F,1,1,145629,37.9
AGFA,SD,201805,K,21,15,I,11,0110,1,GS-15,P,10,F,1,1,164200,32.2
AGFA,SD,201604,K,21,15,G,11,0110,1,GS-15,P,10,F,1,1,160300,24.8
AGFA,SC,201511,F,17,15,E,11,0110,1,GS-15,M,10,F,1,1,130453,14.3
AM00,SJ,201609,K,21,,C,11,0110,1,FP-01,P,48,F,2,1,160300,03.3
AM00,SA,201707,E,17,13,D,11,0110,1,GS-13,J,15,F,1,1,104275,07.9
AM00,SC,201707,D,17,13,C,11,0110,1,GS-13,I,10,F,1,1,094796,03.0
AM00,SC,201707,E,17,,B,11,0110,1,FP-02,J,48,F,2,1,109973,01.3
AM00,SD,201710,J,21,14,J,11,0110,1,GS-14,N,10,F,1,1,145629,37.1
AM00,SC,201802,F,17,14,D,11,0110,1,GS-14,L,10,F,1,1,126049,09.6
AM00,SD,201512,J,17,15,J,11,0110,1,GS-15,O,10,F,1,1,158700,39.1
AM00,SC,201512,I,21,,B,11,0110,1,ST-00,P,20,F,2,1,167983,01.9
AM00,SA,201512,E,17,14,D,11,0110,1,GS-14,K,10,F,1,1,114480,09.7
AM00,SD,201704,K,21,14,J,11,0110,1,GS-14,N,10,F,1,1,145629,36.8
AM00,SA,201811,C,17,11,A,11,0110,1,GS-11,F,35,F,1,1,068036,00.0
AM00,SG,201503,K,21,,I,11,0110,1,FO-01,O,38,F,1,1,158700,32.7
AM00,SC,201503,E,14,,D,PE,0110,1,FO-03,H,38,F,1,1,089841,06.0
AM00,SA,201604,D,17,14,C,11,0110,1,GS-14,J,10,F,1,1,108887,04.7
AM00,SD,201605,K,14,,I,11,0110,1,FP-01,P,48,F,2,1,160300,30.3
AM00,SC,201801,H,21,,E,PK,0110,1,FP-02,N,48,F,2,1,145644,13.3
AM00,SD,201410,K,21,15,I,11,0110,1,GS-15,O,10,F,1,1,157100,34.1
AM00,SC,201511,H,13,,C,11,0110,1,FP-02,M,48,F,2,1,133472,04.1
AM00,SC,201808,E,17,,D,11,0110,1,FO-03,J,38,F,1,1,105674,09.7
AM00,SD,201509,J,17,,E,**,0110,1,FO-01,M,38,F,1,1,136833,13.5
AM00,SC,201509,D,14,,D,CG,0110,1,FP-04,G,38,F,1,1,070677,06.4
AM00,SC,201812,E,17,14,F,11,0110,1,GS-14,N,10,F,1,1,148967,16.4
AM00,SJ,201907,J,21,,B,11,0110,1,ST-00,S,20,F,2,1,192300,02.6
