AGYSUB,ACC,EFDATE,AGELVL,EDLVL,GSEGRD,LOSLVL,LOC,OCC,PATCO,PPGRD,SALLVL,STEMOCC,TOA,WORKSCH,WORKSTAT,COUNT,SALARY,LOS
AG10,AD,202102,D,13,09,A,11,0110,1,GS-09,F,0110,35,F,1,1,060129,00.0
AG10,AD,202107,B,13,04,A,11,0119,3,GS-04,C,XXXX,48,F,2,1,035470,00.0
AG10,AD,202107,E,13,04,A,11,0119,3,GS-04,C,XXXX,48,F,2,1,035470,00.0
AG10,AD,202107,A,17,04,A,11,0119,3,GS-04,C,XXXX,48,F,2,1,035470,00.0
AG10,AD,202107,B,13,04,A,11,0119,3,GS-04,C,XXXX,48,F,2,1,035470,00.0
AG10,AD,202308,B,13,07,A,11,0110,1,GS-07,E,0110,35,F,1,1,053105,00.0
AG10,AC,202201,C,10,09,A,11,0110,1,GS-09,F,0110,15,F,1,1,061947,00.0
AG10,AD,202109,A,01,05,A,11,0119,3,GS-05,C,XXXX,40,F,2,1,039684,00.0
AG10,AD,202109,A,01,05,A,11,0119,3,GS-05,C,XXXX,40,F,2,1,039684,00.0
AG10,AD,202109,A,01,02,A,11,0119,3,GS-02,B,XXXX,40,F,2,1,028959,00.0
AG10,AC,202204,D,17,09,A,11,0110,1,GS-09,F,0110,15,F,1,1,061947,00.0
AG10,AD,202109,B,01,03,A,11,0119,3,GS-03,C,XXXX,48,F,2,1,031597,00.0
AG10,AD,202107,A,04,02,A,11,0119,3,GS-02,B,XXXX,40,G,2,1,028959,00.0
AG10,AC,202301,B,13,11,A,11,0110,1,GS-11,G,0110,15,F,1,1,078592,00.0
AG10,AC,202205,C,01,09,A,11,0110,1,GS-09,F,0110,15,F,1,1,061947,00.0
AG10,AD,202206,B,04,05,A,11,0119,3,GS-05,D,XXXX,48,F,2,1,040883,00.0
AG10,AC,202206,B,01,09,A,11,0110,1,GS-09,F,0110,15,F,1,1,061947,00.0
AG10,AC,202207,C,04,09,A,11,0110,1,GS-09,F,0110,15,F,1,1,061947,00.0
AG10,AC,202210,C,17,09,A,11,0110,1,GS-09,F,0110,15,F,1,1,061947,00.0
AG10,AC,202304,H,21,11,A,11,0110,1,GS-11,G,0110,15,F,1,1,078592,00.0
AG10,AC,202307,D,17,11,A,11,0110,1,GS-11,G,0110,15,F,1,1,078592,00.0
AG10,AD,202307,C,13,09,D,11,0110,1,GS-09,F,0110,**,F,2,1,064957,05.0
AG10,AD,202308,C,17,09,A,11,0110,1,GS-09,F,0110,35,F,1,1,064957,00.0
AG10,AD,202308,B,01,09,A,11,0110,1,GS-09,F,0110,35,F,1,1,064957,00.0
AG11,AC,202307,F,17,13,A,04,0110,1,GS-13,K,0110,10,F,1,1,118194,00.0
AG11,AC,202106,D,13,12,D,30,0110,1,GS-12,H,0110,15,F,1,1,085238,05.4
AG11,AC,202003,D,13,12,A,11,0110,1,GS-12,H,0110,20,F,2,1,086335,00.0
AG11,AD,202107,E,12,12,D,30,0110,1,GS-12,G,0110,42,F,2,1,077488,09.4
AG11,AC,202003,F,21,12,A,55,0110,1,GS-12,H,0110,15,F,1,1,086952,00.0
AG11,AC,202005,D,21,12,A,06,0110,1,GS-12,H,0110,15,F,1,1,087612,00.0
AG11,AC,202008,E,21,12,A,**,0110,1,GS-12,G,0110,15,F,1,1,079725,00.0
AG11,AA,202207,G,21,12,A,55,0110,1,GS-12,H,0110,15,F,1,1,087301,00.0
AG11,AC,202008,E,21,12,A,**,0110,1,GS-12,G,0110,15,F,1,1,079725,00.0
AG11,AC,202101,D,21,12,A,41,0110,1,GS-12,J,0110,15,F,1,1,101993,00.0
AG11,AC,202111,D,21,13,A,27,0110,1,GS-13,I,0110,15,F,1,1,099065,00.0
AG11,AD,202207,D,17,09,A,42,0110,1,GS-09,E,0110,35,F,1,1,056469,00.0
AG11,AC,202209,D,21,12,A,**,0110,1,GS-12,H,0110,15,F,1,1,082601,00.0
AG11,AC,202210,G,21,12,A,55,0110,1,GS-12,G,0110,15,F,1,1,079363,00.0
AG11,AC,202211,D,21,12,A,**,0110,1,GS-12,H,0110,15,F,1,1,082601,00.0
AG11,AC,202304,F,21,11,A,41,0110,1,GS-11,G,0110,15,F,1,1,074137,00.0
AG11,AC,202307,F,21,13,A,55,0110,1,GS-13,I,0110,15,F,1,1,098496,00.0
AG11,AD,202307,F,21,12,A,08,0110,1,GS-12,I,0110,42,F,2,1,091753,00.0
AG16,AA,202106,J,17,14,F,49,0110,1,GS-14,K,0110,10,F,1,1,119773,17.8
AG16,AA,202102,J,17,12,G,41,0110,1,GS-12,I,0110,10,F,1,1,096479,23.9
AG16,AA,202101,J,21,13,C,05,0110,1,GS-13,I,0110,10,F,1,1,092143,03.2
AG16,AC,202104,E,13,12,D,05,0110,1,GS-12,G,0110,10,F,1,1,077488,08.5
AG16,AA,202301,B,13,11,B,48,0110,1,GS-11,H,0110,15,F,1,1,082926,02.6
AG16,AC,202109,D,17,09,A,27,0110,1,GS-09,E,0110,15,F,1,1,057447,00.0
AG16,AD,202101,C,13,09,A,51,0110,1,GS-09,F,0110,35,F,1,1,060129,00.0
AG16,AC,202108,D,13,07,A,04,0110,1,GS-07,D,0110,15,F,1,1,045254,00.0
AG16,AC,202110,C,13,07,A,26,0110,1,GS-07,D,0110,15,F,1,1,043683,00.0
AG16,AD,202203,B,17,07,A,42,0110,1,GS-07,D,0110,35,F,1,1,045395,00.0
AG16,AD,202204,C,13,07,A,20,0110,1,GS-07,D,0110,35,F,1,1,044740,00.0
AG16,AC,202205,C,17,09,A,22,0110,1,GS-09,E,0110,15,F,1,1,054727,00.0
AG16,AC,202209,G,21,09,A,38,0110,1,GS-09,E,0110,15,F,1,1,054727,00.0
AG16,AD,202302,C,17,09,A,39,0110,1,GS-09,E,0110,35,F,1,1,059456,00.0
AG16,AD,202304,B,04,07,A,30,0110,1,GS-07,D,0110,35,F,1,1,046696,00.0
AG16,AD,202308,C,17,07,A,21,0110,1,GS-07,D,0110,35,F,1,1,046696,00.0
AG18,AC,201912,K,21,15,I,11,0110,1,GS-15,P,0110,20,P,2,1,166500,31.4
AG18,AC,202109,H,21,15,F,29,0110,1,GS-15,N,0110,15,F,1,1,146633,16.1
AG18,AC,201910,K,17,13,I,11,0110,1,GS-13,L,0110,20,P,2,1,128920,34.9
AG18,AC,201910,K,21,15,J,11,0110,1,GS-15,P,0110,20,P,2,1,166500,37.9
AG18,AC,202010,G,17,15,A,29,0110,1,GS-15,N,0110,15,F,1,1,145183,00.0
AG18,AC,201910,K,21,15,J,11,0110,1,GS-15,P,0110,20,P,2,1,166500,38.0
AG18,AC,201910,J,13,14,J,11,0110,1,GS-14,N,0110,20,P,2,1,148445,38.8
AG18,AC,201910,K,17,15,J,53,0110,1,GS-15,O,0110,20,P,2,1,152067,39.1
AG18,AC,202206,F,17,13,G,**,0110,1,GS-13,M,0110,15,F,1,1,131747,21.9
AG18,AC,201910,K,21,15,I,11,0110,1,GS-15,P,0110,20,P,2,1,166500,30.3
AG18,AC,201910,K,21,15,H,11,0110,1,GS-15,P,0110,20,P,2,1,166500,29.6
AG18,AC,201910,J,17,15,I,11,0110,1,GS-15,P,0110,20,P,2,1,166500,31.3
AG18,AC,201910,K,21,13,J,11,0110,1,GS-13,L,0110,20,P,2,1,128920,40.1
AG18,AC,202103,I,21,15,G,29,0110,1,GS-15,O,0110,15,F,1,1,150945,24.8
AG18,AC,201910,K,17,15,J,11,0110,1,GS-15,P,0110,20,P,2,1,166500,36.5
AG18,AC,202111,I,21,14,G,29,0110,1,GS-14,L,0110,15,F,1,1,128324,20.4
AG18,AC,202008,G,13,12,A,29,0110,1,GS-12,I,0110,15,F,1,1,095589,00.0
AG18,AC,202001,K,21,15,J,11,0110,1,GS-15,Q,0110,20,P,2,1,170800,47.9
AG18,AC,202003,J,21,14,H,11,0110,1,GS-14,O,0110,20,F,2,1,157709,27.3
AG18,AC,202009,J,21,15,G,11,0110,1,GS-15,Q,0110,20,P,2,1,170800,24.8
AG18,AC,202006,D,17,13,A,29,0110,1,GS-13,I,0110,15,F,1,1,092159,00.0
AG18,AC,201910,H,21,15,G,11,0110,1,GS-15,O,0110,20,P,2,1,151633,20.6
AG18,AC,202107,D,21,12,A,29,0110,1,GS-12,I,0110,15,F,1,1,096544,00.0
AG18,AC,202204,H,21,15,F,51,0110,1,GS-15,Q,0110,10,F,1,1,176300,19.7
AG18,AC,202302,K,21,15,J,11,0110,1,GS-15,R,0110,20,P,2,1,183500,38.7
AG18,AC,201912,K,21,13,E,11,0110,1,GS-13,L,0110,20,P,2,1,122310,11.4
AG18,AC,201910,I,21,14,H,11,0110,1,GS-14,O,0110,20,P,2,1,152352,29.7
AG18,AC,201911,K,21,15,I,11,0110,1,GS-15,P,0110,20,P,2,1,166500,31.2
AG18,AC,202104,E,17,14,A,29,0110,1,GS-14,K,0110,15,F,1,1,117326,00.0
AG18,AC,202104,E,17,14,D,29,0110,1,GS-14,K,0110,15,F,1,1,117326,05.9
AG18,AC,202002,F,21,14,C,29,0110,1,GS-14,J,0110,15,F,1,1,108904,04.0
AG18,AC,202002,K,17,14,I,11,0110,1,GS-14,O,0110,20,P,2,1,157709,30.7
AG18,AC,202006,I,21,14,D,29,0110,1,GS-14,J,0110,15,F,1,1,108904,07.6
AG18,AC,202009,E,21,12,A,29,0110,1,GS-12,J,0110,15,F,1,1,100756,00.0
AG18,AC,202006,E,21,12,A,29,0110,1,GS-12,I,0110,15,F,1,1,095589,00.0
AG18,AC,202204,D,13,13,E,11,0110,1,GS-13,M,0110,15,F,1,1,135308,12.6
AG18,AC,202001,E,21,12,A,29,0110,1,GS-12,J,0110,15,F,1,1,100756,00.0
AG18,AC,202210,G,21,14,D,17,0110,1,GS-14,N,0110,15,F,1,1,140508,09.2
AG18,AC,202111,F,21,15,F,11,0110,1,GS-15,O,0110,15,F,1,1,158541,15.2
AG18,AC,202204,F,17,13,E,08,0110,1,GS-13,K,0110,15,F,1,1,114441,11.2
AG18,AC,202110,D,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,088715,00.0
AG18,AC,202307,E,21,13,B,55,0110,1,GS-13,L,0110,15,F,1,1,121477,01.1
AG18,AC,202003,D,21,12,A,29,0110,1,GS-12,I,0110,15,F,1,1,090421,00.0
AG18,AC,202201,F,21,14,A,29,0110,1,GS-14,K,0110,15,F,1,1,112931,00.0
AG18,AC,202101,E,21,14,A,29,0110,1,GS-14,K,0110,15,F,1,1,113659,00.0
AG18,AC,202009,D,13,13,D,29,0110,1,GS-13,I,0110,15,F,1,1,092159,08.4
AG18,AC,202002,D,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,087837,00.0
AG18,AC,202103,E,21,15,C,11,0110,1,GS-15,P,0110,15,F,1,1,168150,04.2
AG18,AC,202103,E,21,15,A,11,0110,1,GS-15,P,0110,15,F,1,1,168150,00.0
AG18,AC,202108,D,17,14,C,29,0110,1,GS-14,J,0110,15,F,1,1,109993,04.7
AG18,AC,202012,D,21,12,A,29,0110,1,GS-12,J,0110,15,F,1,1,100756,00.0
AG18,AC,202010,H,21,15,B,29,0110,1,GS-15,L,0110,15,F,1,1,128100,01.1
AG18,AC,202205,E,21,14,C,11,0110,1,GS-14,O,0110,15,F,1,1,155687,03.9
AG18,AC,202301,E,21,13,A,27,0110,1,GS-13,M,0110,15,F,1,1,138913,00.0
AG18,AC,202001,D,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,087837,00.0
AG18,AC,202007,E,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,087837,00.0
AG18,AC,202009,C,13,12,B,29,0110,1,GS-12,H,0110,15,F,1,1,080085,02.8
AG18,AC,201910,B,13,09,A,29,0110,1,GS-09,E,0110,15,F,1,1,051853,00.0
AG18,AC,201910,E,17,09,A,29,0110,1,GS-09,E,0110,15,F,1,1,051853,00.0
AG18,AC,201910,C,17,09,A,29,0110,1,GS-09,E,0110,15,F,1,1,051853,00.0
AG18,AC,201910,E,17,09,A,11,0110,1,GS-09,E,0110,15,F,1,1,057510,00.0
AG18,AC,201911,D,17,09,A,29,0110,1,GS-09,F,0110,15,F,1,1,067405,00.0
AG18,AC,202002,G,17,13,A,29,0110,1,GS-13,I,0110,15,F,1,1,092159,00.0
AG18,AC,202002,J,21,12,A,29,0110,1,GS-12,J,0110,15,F,1,1,100756,00.0
AG18,AC,202002,F,21,13,A,29,0110,1,GS-13,I,0110,15,F,1,1,092159,00.0
AG18,AC,202003,C,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,087837,00.0
AG18,AC,202004,D,21,12,A,29,0110,1,GS-12,I,0110,15,F,1,1,098173,00.0
AG18,AC,202005,D,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,087837,00.0
AG18,AC,202005,C,17,11,A,29,0110,1,GS-11,F,0110,15,F,1,1,064660,00.0
AG18,AC,202004,C,17,11,A,29,0110,1,GS-11,F,0110,15,F,1,1,068971,00.0
AG18,AC,202006,D,21,12,A,29,0110,1,GS-12,I,0110,15,F,1,1,095589,00.0
AG18,AC,202006,D,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,087837,00.0
AG18,AC,202006,C,17,09,A,29,0110,1,GS-09,E,0110,15,F,1,1,055224,00.0
AG18,AC,202006,C,21,12,A,29,0110,1,GS-12,J,0110,15,F,1,1,100756,00.0
AG18,AC,202201,C,21,12,A,29,0110,1,GS-12,I,0110,15,F,1,1,091085,00.0
AG18,AC,202201,C,17,09,A,29,0110,1,GS-09,E,0110,15,F,1,1,055419,00.0
AG18,AC,202007,I,21,15,A,29,0110,1,GS-15,O,0110,15,F,1,1,153724,00.0
AG18,AC,202007,G,21,14,A,29,0110,1,GS-14,J,0110,15,F,1,1,108904,00.0
AG18,AC,202007,C,21,12,A,29,0110,1,GS-12,J,0110,15,F,1,1,100756,00.0
AG18,AC,202007,C,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,087837,00.0
AG18,AC,202008,E,21,12,A,29,0110,1,GS-12,I,0110,15,F,1,1,093005,00.0
AG18,AC,202007,C,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,087837,00.0
AG18,AC,202008,C,14,09,A,29,0110,1,GS-09,E,0110,15,F,1,1,053443,00.0
AG18,AD,202008,K,16,,A,11,0110,1,RA-00,S,0110,38,F,1,1,195000,00.0
AG18,AC,202008,B,17,09,A,29,0110,1,GS-09,E,0110,15,F,1,1,053443,00.0
AG18,AC,202009,C,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,087837,00.0
AG18,AC,202008,D,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,087837,00.0
AG18,AC,202008,D,13,13,A,29,0110,1,GS-13,I,0110,15,F,1,1,098304,00.0
AG18,AC,202008,D,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,087837,00.0
AG18,AC,202008,C,21,12,A,29,0110,1,GS-12,J,0110,15,F,1,1,100756,00.0
AG18,AC,202009,E,21,12,A,29,0110,1,GS-12,J,0110,15,F,1,1,100756,00.0
AG18,AC,202009,D,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,087837,00.0
AG18,AC,202011,I,21,15,A,29,0110,1,GS-15,O,0110,15,F,1,1,153724,00.0
AG18,AC,202012,D,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,087837,00.0
AG18,AC,202012,F,21,14,A,29,0110,1,GS-14,K,0110,15,F,1,1,119794,00.0
AG18,AC,202012,K,21,15,A,29,0110,1,GS-15,P,0110,15,F,1,1,166535,00.0
AG18,AC,202101,D,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,088715,00.0
AG18,AC,202101,H,21,15,A,29,0110,1,GS-15,N,0110,15,F,1,1,142320,00.0
AG18,AC,202101,F,21,13,A,29,0110,1,GS-13,I,0110,15,F,1,1,093081,00.0
AG18,AC,202012,G,21,13,A,29,0110,1,GS-13,J,0110,15,F,1,1,104448,00.0
AG18,AC,202101,C,01,12,A,29,0110,1,GS-12,G,0110,15,F,1,1,078277,00.0
AG18,AC,202101,H,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,088715,00.0
AG18,AC,202101,H,21,15,A,29,0110,1,GS-15,O,0110,15,F,1,1,155258,00.0
AG18,AC,202101,E,21,13,A,29,0110,1,GS-13,L,0110,15,F,1,1,121006,00.0
AG18,AC,202102,I,21,14,A,29,0110,1,GS-14,N,0110,15,F,1,1,142989,00.0
AG18,AC,202104,G,17,09,A,29,0110,1,GS-09,E,0110,15,F,1,1,053977,00.0
AG18,AC,202104,C,17,09,A,29,0110,1,GS-09,E,0110,15,F,1,1,053977,00.0
AG18,AC,202201,D,14,12,A,29,0110,1,GS-12,I,0110,15,F,1,1,096444,00.0
AG18,AC,202105,E,21,12,A,29,0110,1,GS-12,G,0110,15,F,1,1,078277,00.0
AG18,AC,202305,C,17,11,A,48,0110,1,GS-11,G,0110,15,F,1,1,073713,00.0
AG18,AC,202106,D,21,12,A,29,0110,1,GS-12,I,0110,15,F,1,1,096544,00.0
AG18,AC,202106,D,21,12,A,29,0110,1,GS-12,I,0110,15,F,1,1,093935,00.0
AG18,AC,202106,C,21,12,A,29,0110,1,GS-12,I,0110,15,F,1,1,096544,00.0
AG18,AC,202106,F,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,088715,00.0
AG18,AC,202202,D,21,12,A,29,0110,1,GS-12,I,0110,15,F,1,1,096444,00.0
AG18,AC,202106,C,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,088715,00.0
AG18,AC,202106,B,17,09,A,29,0110,1,GS-09,E,0110,15,F,1,1,053977,00.0
AG18,AC,202106,B,17,09,A,29,0110,1,GS-09,E,0110,15,F,1,1,053977,00.0
AG18,AC,202106,B,17,09,A,29,0110,1,GS-09,E,0110,15,F,1,1,053977,00.0
AG18,AC,202106,D,21,13,A,29,0110,1,GS-13,K,0110,15,F,1,1,111698,00.0
AG18,AC,202106,D,21,12,A,29,0110,1,GS-12,I,0110,15,F,1,1,093935,00.0
AG18,AC,202107,D,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,088715,00.0
AG18,AC,202107,C,21,12,A,29,0110,1,GS-12,J,0110,15,F,1,1,101764,00.0
AG18,AC,202107,G,21,14,A,29,0110,1,GS-14,L,0110,15,F,1,1,128324,00.0
AG18,AC,202107,B,17,09,A,29,0110,1,GS-09,E,0110,15,F,1,1,053977,00.0
AG18,AC,202108,D,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,088715,00.0
AG18,AC,202108,C,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,088715,00.0
AG18,AC,202108,E,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,088715,00.0
AG18,AC,202108,G,21,14,A,11,0110,1,GS-14,L,0110,15,F,1,1,122530,00.0
AG18,AC,202108,F,21,15,A,29,0110,1,GS-15,P,0110,15,F,1,1,168196,00.0
AG18,AC,202109,F,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,088715,00.0
AG18,AD,202109,B,04,04,A,29,0119,3,GS-04,C,XXXX,40,F,2,1,031841,00.0
AG18,AC,202109,D,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,088715,00.0
AG18,AC,202109,D,21,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,088715,00.0
AG18,AD,202109,A,04,02,A,29,0119,3,GS-02,B,XXXX,40,F,2,1,025996,00.0
AG18,AC,202110,I,17,14,A,29,0110,1,GS-14,N,0110,15,F,1,1,142989,00.0
AG18,AC,202110,C,17,09,A,29,0110,1,GS-09,E,0110,15,F,1,1,053977,00.0
AG18,AC,202110,C,13,12,A,29,0110,1,GS-12,G,0110,15,F,1,1,078277,00.0
AG18,AC,202110,D,21,12,A,29,0110,1,GS-12,I,0110,15,F,1,1,091325,00.0
AG18,AC,202110,G,21,14,A,29,0110,1,GS-14,J,0110,15,F,1,1,109993,00.0
AG18,AC,202111,G,17,12,A,29,0110,1,GS-12,G,0110,15,F,1,1,078277,00.0
AG18,AC,202111,C,17,12,A,29,0110,1,GS-12,G,0110,15,F,1,1,078277,00.0
AG18,AC,202111,D,17,12,A,29,0110,1,GS-12,G,0110,15,F,1,1,078277,00.0
AG18,AC,202201,G,21,14,A,11,0110,1,GS-14,N,0110,15,F,1,1,143064,00.0
AG18,AC,202201,E,21,12,A,11,0110,1,GS-12,J,0110,15,F,1,1,107803,00.0
AG18,AC,202204,G,13,14,A,20,0110,1,GS-14,K,0110,15,F,1,1,112931,00.0
AG18,AC,202205,E,21,12,A,29,0110,1,GS-12,I,0110,15,F,1,1,096444,00.0
AG18,AC,202206,D,21,12,A,20,0110,1,GS-12,I,0110,15,F,1,1,091085,00.0
AG18,AC,202206,E,21,12,A,06,0110,1,GS-12,J,0110,15,F,1,1,107235,00.0
AG18,AC,202207,D,21,13,A,10,0110,1,GS-13,L,0110,15,F,1,1,120286,00.0
AG18,AC,202208,C,21,12,A,39,0110,1,GS-12,I,0110,15,F,1,1,093856,00.0
AG18,AC,202208,E,21,12,A,40,0110,1,GS-12,G,0110,15,F,1,1,079363,00.0
AG18,AC,202211,H,21,15,A,24,0110,1,GS-15,N,0110,15,F,1,1,148484,00.0
AG18,AC,202302,F,21,14,A,44,0110,1,GS-14,Q,0110,15,F,1,1,170205,00.0
AG18,AC,202303,E,21,13,A,11,0110,1,GS-13,K,0110,15,F,1,1,112015,00.0
AG18,AC,202306,D,21,13,A,32,0110,1,GS-13,L,0110,15,F,1,1,121477,00.0
AG18,AD,202307,A,04,03,A,47,0119,3,GS-03,C,XXXX,40,F,2,1,033906,00.0
AG18,AC,202308,C,21,12,A,26,0110,1,GS-12,J,0110,15,F,1,1,104919,00.0
AG30,AC,202104,C,13,13,A,51,0110,1,GS-13,J,0110,15,F,1,1,103690,00.0
AG34,AC,202201,H,21,11,A,08,0110,1,GS-11,G,0110,15,F,1,1,072995,00.0
AG34,AC,202303,D,21,12,A,08,0110,1,GS-12,I,0110,15,F,1,1,091753,00.0
AG34,AC,202306,C,21,11,A,08,0110,1,GS-11,G,0110,20,F,2,1,076551,00.0
AG37,AA,202102,C,05,13,D,11,0110,1,GS-13,J,0110,10,F,1,1,103690,05.8
AG38,AA,202108,F,17,13,E,11,0110,1,GS-13,K,0110,10,F,1,1,114059,13.2
AG38,AC,202208,F,21,14,E,11,0110,1,GS-14,M,0110,15,F,1,1,134649,13.8
AG38,AE,202101,H,21,,D,11,0110,1,ES-**,S,0110,50,F,1,1,197300,07.6
AG38,AC,202006,E,17,14,C,11,0110,1,GS-14,L,0110,15,F,1,1,121316,04.3
AG38,AC,202009,D,17,15,D,11,0110,1,GS-15,N,0110,15,F,1,1,142701,05.4
AG38,AC,202202,E,21,14,A,11,0110,1,GS-14,L,0110,15,F,1,1,126233,00.0
AG38,AD,202308,C,04,12,A,11,0110,1,GS-12,I,0110,40,F,2,1,094199,00.0
AG99,AC,202205,K,17,15,J,37,0110,1,GS-15,Q,0110,20,P,2,1,170532,40.5
AG99,AC,202212,K,17,15,J,51,0110,1,GS-15,Q,0110,20,P,2,1,176300,41.9
